web_name,minutes,total_points,selected_by_percent
van Dijk,90.0,8.0,40.1
Evans,90.0,7.333333333333333,4.6
Kelly (CRY),90.0,6.666666666666667,28.399999999999995
Baldock,90.0,6.333333333333333,4.7
Tomkins,90.0,6.333333333333333,0.20000000000000004
Doherty,90.0,5.666666666666667,4.0
Fernández,90.0,5.333333333333333,0.4000000000000001
Pereira (LEI),90.0,5.0,17.4
Willems,90.0,5.0,3.4
Alexander-Arnold,74.0,4.666666666666667,30.8
Cresswell,76.66666666666667,4.666666666666667,1.5
Manquillo,90.0,4.666666666666667,0.20000000000000004
Ogbonna,90.0,4.666666666666667,0.5
Vertonghen,90.0,4.333333333333333,1.5
Aurier,86.33333333333333,4.0,6.599999999999999
Jonny,90.0,4.0,1.1
Lindelöf,90.0,4.0,1.2
Alderweireld,90.0,3.6666666666666665,5.599999999999999
Bertrand,90.0,3.6666666666666665,0.5
Stevens,90.0,3.6666666666666665,2.3
