web_name,minutes,total_points,selected_by_percent
Digne,63.5,0.8333333333333334,11.799999999999999
Dunk,90.0,1.0,13.0
Maitland-Niles,75.0,1.3333333333333333,2.6
Azpilicueta,90.0,1.5,5.0
Zouma,90.0,1.5,2.0
Chilwell,69.5,1.6666666666666667,12.799999999999999
Doherty,90.0,1.8333333333333333,4.5
Maguire,90.0,2.0,11.0
Tarkowski,90.0,2.0,4.2
Pereira (LEI),90.0,2.3333333333333335,17.3
Walker,90.0,2.3333333333333335,11.799999999999999
Keane,90.0,2.6666666666666665,2.3000000000000003
Pieters,90.0,2.6666666666666665,6.5
Willems,83.33333333333333,2.6666666666666665,3.6999999999999997
Söyüncü,90.0,2.8333333333333335,20.3
Alexander-Arnold,68.66666666666667,3.0,29.400000000000002
O'Connell,90.0,3.1666666666666665,1.9000000000000001
Wan-Bissaka,90.0,3.1666666666666665,15.1
Alderweireld,90.0,3.5,5.6000000000000005
Robertson,62.833333333333336,3.5,20.400000000000002
