web_name,total_points,minutes,games
Rüdiger,16.0,90.0,1.0
Alexander-Arnold,9.666666666666666,90.0,3.0
Cédric,5.5,90.0,2.0
Boly,5.0,90.0,3.0
Robertson,4.666666666666667,90.0,3.0
Bernardo,4.5,67.0,2.0
Ritchie,4.0,84.0,2.0
Tanganga,4.0,90.0,2.0
Mendy (MCI),3.5,90.0,2.0
van Dijk,3.3333333333333335,90.0,3.0
Dunk,3.25,90.0,4.0
Sidibé,3.25,76.0,4.0
Coleman,3.0,74.0,2.0
Doherty,3.0,71.16666666666667,6.0
Gomez,3.0,46.5,2.0
Vinagre,3.0,60.0,3.0
Willems,3.0,60.166666666666664,6.0
Cresswell,2.8333333333333335,90.0,6.0
Fernández,2.75,70.0,4.0
Coady,2.7142857142857144,90.0,7.0
