web_name,total_points,minutes,games
Williams (MUN),7.5,90.0,2.0
Ward (CRY),7.333333333333333,90.0,3.0
Monreal,7.0,90.0,1.0
Lundstram,6.666666666666667,80.88888888888889,9.0
Fernández,6.333333333333333,61.666666666666664,3.0
Pieters,6.0,82.8,5.0
Ritchie,6.0,90.0,1.0
Alonso,5.8,72.2,5.0
Stevens,5.777777777777778,90.0,9.0
Cahill,5.75,90.0,4.0
Baldock,5.666666666666667,90.0,9.0
Tarkowski,5.6,90.0,10.0
Pereira (LEI),5.538461538461538,90.0,13.0
Balbuena,5.5,67.75,4.0
Schär,5.0,73.0,3.0
Tanganga,5.0,90.0,1.0
Walker,5.0,85.375,8.0
Lowton,4.8,90.0,5.0
Gomez,4.777777777777778,70.88888888888889,9.0
Targett,4.75,86.875,8.0
