web_name,minutes,total_points,selected_by_percent
Calvert-Lewin,90.0,6.666666666666667,4.5
Deulofeu,84.0,6.333333333333333,2.4
Ings,62.0,6.333333333333333,18.7
Aubameyang,90.0,6.0,18.4
Kane,84.66666666666667,6.0,18.3
Rashford,80.66666666666667,5.666666666666667,28.8
Ayew,90.0,5.333333333333333,7.2
Firmino,88.33333333333333,5.333333333333333,8.8
Deeney,86.33333333333333,5.0,0.9
Abraham,90.0,4.666666666666667,32.9
Jesus,30.666666666666668,4.666666666666667,2.3
Jiménez,66.0,4.666666666666667,18.4
Wickham,15.0,3.6666666666666665,2.2
Wood,84.33333333333333,3.6666666666666665,1.0
Agüero,31.0,3.0,10.9
