web_name,minutes,total_points,selected_by_percent
Callum Wilson,69.33333333333333,1.3333333333333333,4.7
King (BOU),45.666666666666664,1.3333333333333333,3.7999999999999994
Lacazette,87.0,1.3333333333333333,1.6000000000000003
Jota (WOL),57.666666666666664,1.6666666666666667,3.2000000000000006
Mousset,57.666666666666664,1.6666666666666667,3.5
Pukki,87.33333333333333,1.6666666666666667,15.300000000000002
Maupay,67.33333333333333,2.3333333333333335,2.2
Haller,72.66666666666667,3.0,2.3
Abraham,90.0,4.666666666666667,32.9
Jiménez,66.0,4.666666666666667,18.4
Ayew,90.0,5.333333333333333,7.2
Firmino,88.33333333333333,5.333333333333333,8.8
Rashford,80.66666666666667,5.666666666666667,28.8
Aubameyang,90.0,6.0,18.4
Kane,84.66666666666667,6.0,18.3
