web_name,total_points,minutes,games
Vardy,10.5,90.0,10.0
Kane,9.875,90.0,8.0
Aubameyang,9.75,90.0,8.0
Pukki,8.6,90.0,5.0
Iheanacho,8.4,51.0,5.0
Agüero,7.666666666666667,67.5,6.0
Lacazette,7.0,90.0,2.0
Ings,6.666666666666667,85.33333333333333,3.0
Haller,6.5,88.0,6.0
Abraham,6.333333333333333,84.77777777777777,9.0
Wesley,5.666666666666667,85.0,3.0
Rashford,5.6,89.0,5.0
Wood,5.571428571428571,84.14285714285714,7.0
Origi,5.333333333333333,36.666666666666664,6.0
Barnes (BUR),4.857142857142857,82.14285714285714,7.0
