web_name,minutes,total_points,selected_by_percent
Salah,90.0,8.666666666666666,45.1
Snodgrass,82.0,8.333333333333334,1.6000000000000003
Fernandes (MUN),90.0,7.333333333333333,7.8
Pépé,60.0,7.333333333333333,3.5
Richarlison,90.0,7.0,12.199999999999998
Son,60.0,7.0,5.3
Henderson (LIV),59.0,6.666666666666667,1.8
De Bruyne,86.0,6.333333333333333,51.0
Martial,86.33333333333333,6.333333333333333,15.1
McNeil,90.0,6.333333333333333,0.9
Westwood,90.0,5.0,0.9
Bergwijn,78.66666666666667,4.666666666666667,1.8999999999999997
Billing,90.0,4.666666666666667,0.20000000000000004
Mount,86.0,4.666666666666667,15.4
Rodrigo,90.0,4.666666666666667,1.1
Tielemans,81.0,4.666666666666667,4.3
Doucouré,86.33333333333333,4.333333333333333,2.3
Mané,40.0,4.333333333333333,23.899999999999995
Saka,69.0,4.333333333333333,1.6000000000000003
Wijnaldum,76.33333333333333,4.333333333333333,2.3
