web_name,total_points,minutes,games
Mané,8.333333333333334,90.0,3.0
Traoré,7.75,64.25,4.0
Lamela,7.0,81.0,2.0
Buendía,6.666666666666667,87.33333333333333,3.0
Milner,6.666666666666667,46.333333333333336,3.0
Mahrez,6.333333333333333,63.333333333333336,3.0
De Bruyne,6.0,90.0,4.0
James (MUN),5.5,90.0,2.0
Martial,5.5,39.5,2.0
Richarlison,5.5,85.0,4.0
Kanté,5.333333333333333,65.66666666666667,3.0
Fabinho,5.0,90.0,2.0
Bernardo Silva,4.666666666666667,86.33333333333333,3.0
Fornals,4.5,73.25,4.0
Salah,4.333333333333333,81.66666666666667,3.0
Lanzini,4.0,83.0,3.0
Shelvey,4.0,77.66666666666667,3.0
McNeil,3.8333333333333335,87.33333333333333,6.0
Trézéguet,3.8,68.8,5.0
Brady,3.75,22.0,4.0
