web_name,total_points,minutes,games
Salah,11.11111111111111,88.66666666666667,9.0
Mané,9.142857142857142,70.85714285714286,7.0
De Bruyne,9.11111111111111,74.22222222222223,9.0
Mahrez,8.857142857142858,76.42857142857143,7.0
Pérez,8.0,73.9090909090909,11.0
Snodgrass,7.0,69.4,5.0
Sterling,6.666666666666667,89.16666666666667,6.0
Grealish,6.444444444444445,90.0,9.0
Son,6.444444444444445,80.66666666666667,9.0
Richarlison,6.333333333333333,85.0,6.0
Alli,6.0,85.6,10.0
Shelvey,6.0,81.0,2.0
Pépé,5.857142857142857,61.285714285714285,7.0
Bernardo Silva,5.571428571428571,54.0,7.0
Martial,5.5,85.16666666666667,6.0
Hourihane,5.428571428571429,60.0,7.0
Sarr,5.25,69.25,4.0
Trossard,5.111111111111111,67.77777777777777,9.0
Chamberlain,5.0,70.0,9.0
Ward-Prowse,5.0,90.0,4.0
