R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Leicester,11.9,19.3,11.8,10.9,2.2,7.03
2,Manchester City,9.0,14.7,9.1,10.5,2.7,7.02
3,Liverpool,8.8,13.2,8.6,9.1,1.2,6.98
4,Chelsea,10.8,18.4,14.2,11.3,1.3,6.93
5,Wolverhampton Wanderers,12.6,18.7,10.5,11.1,2.0,6.77
6,Southampton,13.1,18.7,9.3,13.2,1.2,6.75
7,West Ham,15.1,20.6,12.6,11.5,2.3,6.75
8,Sheffield United,13.6,16.8,12.7,10.8,2.8,6.71
9,Tottenham,16.0,18.4,9.4,10.3,2.4,6.67
10,Crystal Palace,14.7,16.6,11.1,11.4,1.0,6.67
11,Bournemouth,15.5,14.5,13.7,10.5,1.2,6.67
12,Aston Villa,20.5,17.5,11.4,10.5,1.2,6.64
13,Manchester United,11.2,15.6,7.6,10.2,1.5,6.64
14,Brighton,15.5,17.7,10.7,11.1,2.2,6.64
15,Arsenal,15.5,14.7,8.0,9.1,1.5,6.63
16,Norwich,15.4,14.3,10.1,10.3,1.4,6.58
17,Everton,12.2,16.9,12.1,13.1,1.5,6.56
18,Burnley,14.6,13.2,8.9,12.3,1.2,6.55
19,Newcastle United,15.7,16.2,9.7,8.2,2.5,6.54
20,Watford,14.3,18.3,11.6,9.9,1.5,6.45
