R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Manchester City,6.6,14.1,8.4,9.4,2.0,7.13
2,Leicester,8.3,20.0,11.8,9.3,1.5,7.08
3,Liverpool,10.5,17.1,10.6,8.3,1.6,7.06
4,Aston Villa,14.7,13.3,10.4,10.6,3.3,6.9
5,Chelsea,7.0,17.0,11.9,8.0,2.1,6.88
6,Tottenham,11.6,15.7,9.7,9.7,1.6,6.88
7,Arsenal,16.3,18.9,9.0,12.3,2.8,6.85
8,Manchester United,9.4,15.0,10.8,12.0,1.3,6.82
9,Wolverhampton Wanderers,11.6,14.8,12.5,10.8,1.3,6.81
10,Newcastle United,14.6,16.6,12.4,9.0,2.3,6.8
11,Burnley,11.9,15.1,12.9,9.8,3.3,6.76
12,Brighton,10.1,18.1,12.9,10.9,2.0,6.75
13,Crystal Palace,12.0,17.9,11.3,11.1,2.3,6.74
14,Everton,9.0,20.3,7.3,10.3,2.4,6.73
15,Bournemouth,14.3,12.9,13.6,8.7,1.7,6.73
16,Sheffield United,9.4,17.1,11.1,10.8,1.5,6.72
17,West Ham,10.7,17.9,8.3,10.0,2.4,6.66
18,Norwich,18.7,17.4,9.1,9.7,0.9,6.66
19,Watford,11.3,15.7,9.0,12.0,1.6,6.54
20,Southampton,15.0,21.1,11.9,9.5,1.8,6.41
