R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Manchester City,7.3,14.6,8.9,10.1,2.3,7.08
2,Leicester,10.4,20.3,11.7,10.5,1.7,7.04
3,Liverpool,9.9,15.3,9.6,8.8,1.5,6.99
4,Chelsea,9.1,17.3,12.8,9.1,1.7,6.9
5,Wolverhampton Wanderers,12.3,16.4,11.7,11.8,1.5,6.8
6,Tottenham,14.4,16.9,10.1,10.2,1.8,6.79
7,Sheffield United,11.0,16.9,12.0,11.2,2.1,6.77
8,Aston Villa,18.3,15.8,11.4,11.6,1.9,6.74
9,Newcastle United,15.1,16.6,11.3,8.9,2.3,6.72
10,Manchester United,10.4,16.0,9.2,10.7,1.4,6.72
11,Crystal Palace,13.6,17.1,11.3,11.4,1.4,6.71
12,Arsenal,15.9,16.8,8.4,10.3,2.2,6.7
13,Bournemouth,14.6,13.3,13.8,9.6,1.6,6.7
14,West Ham,13.1,19.3,10.6,11.0,2.3,6.69
15,Burnley,12.7,13.7,10.9,11.2,2.2,6.68
16,Brighton,13.1,16.8,10.9,10.8,2.2,6.66
17,Everton,10.1,19.4,10.6,12.0,1.8,6.63
18,Norwich,16.5,16.1,9.8,9.6,1.3,6.61
19,Southampton,14.0,18.8,10.5,11.6,1.6,6.57
20,Watford,12.6,17.7,10.9,11.4,1.7,6.54
