web_name,id,avg_minutes,avg_points,team_name,cost,selected_by_percent,color,range
Aarons (NOR),274,83.57142857142857,2.0714285714285716,Norwich,4.3,1.1,green,4.3 to 4.7
Adam Smith,63,48.57142857142857,1.0,Bournemouth,4.3,0.4,green,4.3 to 4.7
Aké,59,64.28571428571429,1.9285714285714286,Bournemouth,4.8,6.6,greenyellow,4.8 to 5.2
Alderweireld,331,89.07142857142857,1.7857142857142858,Spurs,5.3,4.8,gold,5.3 to 5.7
Alexander-Arnold,182,85.92307692307692,6.615384615384615,Liverpool,7.7,44.4,red,7.3 and over
Aurier,336,64.42857142857143,2.2857142857142856,Spurs,5.0,5.9,greenyellow,4.8 to 5.2
Azpilicueta,105,89.15384615384616,2.6153846153846154,Chelsea,5.8,6.1,orange,5.8 to 6.2
Baldock,294,90.0,4.230769230769231,Sheffield Utd,5.1,11.3,greenyellow,4.8 to 5.2
Basham,423,87.61538461538461,2.8461538461538463,Sheffield Utd,4.5,1.2,green,4.3 to 4.7
Bednarek,307,82.84615384615384,2.3846153846153846,Southampton,4.4,0.8,green,4.3 to 4.7
Bertrand,305,69.23076923076923,1.6923076923076923,Southampton,4.8,0.8,greenyellow,4.8 to 5.2
Burn,475,70.71428571428571,1.5,Brighton,4.5,0.2,green,4.3 to 4.7
Byram,454,51.42857142857143,1.2142857142857142,Norwich,4.4,0.1,green,4.3 to 4.7
Cahill,503,55.38461538461539,1.3846153846153846,Crystal Palace,4.4,1.3,green,4.3 to 4.7
Cathcart,358,83.57142857142857,1.7142857142857142,Watford,4.4,3.1,green,4.3 to 4.7
Chambers,467,48.46153846153846,1.4615384615384615,Arsenal,4.4,0.6,green,4.3 to 4.7
Chilwell,161,61.46153846153846,3.769230769230769,Leicester,5.6,9.2,gold,5.3 to 5.7
Coady,403,90.0,2.769230769230769,Wolves,5.0,1.8,greenyellow,4.8 to 5.2
Cresswell,376,64.28571428571429,2.2857142857142856,West Ham,4.6,1.3,green,4.3 to 4.7
David Luiz,106,71.15384615384616,2.0,Arsenal,5.7,4.9,gold,5.3 to 5.7
Dawson,439,57.92857142857143,1.3571428571428572,Watford,4.8,0.2,greenyellow,4.8 to 5.2
Digne,141,72.42857142857143,1.1428571428571428,Everton,5.8,12.0,orange,5.8 to 6.2
Diop,381,58.0,1.3571428571428572,West Ham,4.3,2.1,green,4.3 to 4.7
Doherty,401,66.76923076923077,2.076923076923077,Wolves,6.1,5.0,orange,5.8 to 6.2
Dunk,42,83.57142857142857,3.0,Brighton,4.8,13.3,greenyellow,4.8 to 5.2
Egan,295,90.0,2.923076923076923,Sheffield Utd,4.6,2.2,green,4.3 to 4.7
Evans,162,87.23076923076923,3.923076923076923,Leicester,5.2,6.3,greenyellow,4.8 to 5.2
Fernández,254,58.0,1.5714285714285714,Newcastle,4.5,2.4,green,4.3 to 4.7
Fredericks,380,62.07142857142857,2.0,West Ham,4.4,0.3,green,4.3 to 4.7
Godfrey,273,61.357142857142854,1.0,Norwich,4.4,0.1,green,4.3 to 4.7
Guilbert,458,72.42857142857143,0.7142857142857143,Aston Villa,4.4,0.5,green,4.3 to 4.7
Holgate,478,64.28571428571429,1.9285714285714286,Everton,4.5,2.3,green,4.3 to 4.7
Jonny,402,74.0,2.8461538461538463,Wolves,5.4,1.0,gold,5.3 to 5.7
Keane,143,59.142857142857146,1.8571428571428572,Everton,5.2,1.9,greenyellow,4.8 to 5.2
Kelly (CRY),128,65.23076923076923,2.4615384615384617,Crystal Palace,4.2,21.4,darkgreen,Less than 4.3
Kiko Femenía,357,45.714285714285715,0.5,Watford,4.2,0.4,darkgreen,Less than 4.3
Kolasinac,3,46.23076923076923,1.1538461538461537,Arsenal,5.2,0.5,greenyellow,4.8 to 5.2
Konsa,452,47.0,0.6428571428571429,Aston Villa,4.3,0.1,green,4.3 to 4.7
Lascelles,258,57.214285714285715,0.9285714285714286,Newcastle,4.3,4.3,green,4.3 to 4.7
Lewis (NOR),276,45.714285714285715,0.7857142857142857,Norwich,4.4,0.2,green,4.3 to 4.7
Lindelöf,225,76.15384615384616,1.6153846153846154,Man Utd,5.3,1.2,gold,5.3 to 5.7
Lowton,85,62.30769230769231,1.2307692307692308,Burnley,4.2,0.4,darkgreen,Less than 4.3
Lundstram,297,75.0,3.0,Sheffield Utd,4.9,40.6,greenyellow,4.8 to 5.2
Maguire,160,90.0,3.0,Man Utd,5.2,10.6,greenyellow,4.8 to 5.2
Maitland-Niles,4,48.46153846153846,2.076923076923077,Arsenal,4.5,2.4,green,4.3 to 4.7
Mariappa,356,52.857142857142854,0.7857142857142857,Watford,4.2,0.3,darkgreen,Less than 4.3
Mee,83,90.0,2.5384615384615383,Burnley,5.0,1.2,greenyellow,4.8 to 5.2
Mina,142,77.85714285714286,2.857142857142857,Everton,5.3,2.3,gold,5.3 to 5.7
Mings,445,77.14285714285714,1.7857142857142858,Aston Villa,4.5,2.6,green,4.3 to 4.7
Montoya,38,55.57142857142857,1.4285714285714286,Brighton,4.4,0.6,green,4.3 to 4.7
O'Connell,293,90.0,3.1538461538461537,Sheffield Utd,4.7,3.5,green,4.3 to 4.7
Ogbonna,377,83.57142857142857,2.0,West Ham,4.5,1.2,green,4.3 to 4.7
Otamendi,208,55.642857142857146,1.7857142857142858,Man City,5.0,2.1,greenyellow,4.8 to 5.2
Pereira (LEI),159,83.07692307692308,3.1538461538461537,Leicester,6.3,13.9,darkorange,6.3 to 6.7
Rico,65,63.785714285714285,2.2142857142857144,Bournemouth,4.3,10.6,green,4.3 to 4.7
Robertson,181,88.84615384615384,6.153846153846154,Liverpool,7.0,21.0,orangered,6.8 to 7.2
Saïss,407,69.46153846153847,2.1538461538461537,Wolves,4.5,2.0,green,4.3 to 4.7
Schär,252,51.785714285714285,1.2857142857142858,Newcastle,5.0,1.3,greenyellow,4.8 to 5.2
Sidibé,511,52.0,1.2142857142857142,Everton,5.2,1.3,greenyellow,4.8 to 5.2
Sokratis,5,54.30769230769231,1.4615384615384615,Arsenal,4.8,1.3,greenyellow,4.8 to 5.2
Stephens (SOU),308,60.92307692307692,2.6923076923076925,Southampton,4.5,3.7,green,4.3 to 4.7
Steve Cook,58,66.42857142857143,0.9285714285714286,Bournemouth,5.0,0.2,greenyellow,4.8 to 5.2
Stevens,291,90.0,4.0,Sheffield Utd,5.1,3.0,greenyellow,4.8 to 5.2
Sánchez (TOT),333,61.07142857142857,0.9285714285714286,Spurs,5.3,0.9,gold,5.3 to 5.7
Söyüncü,164,83.07692307692308,4.076923076923077,Leicester,5.0,16.1,greenyellow,4.8 to 5.2
Targett,309,59.285714285714285,1.4285714285714286,Aston Villa,4.4,0.9,green,4.3 to 4.7
Tarkowski,84,90.0,3.0,Burnley,5.1,3.7,greenyellow,4.8 to 5.2
Tomkins,124,60.0,2.3846153846153846,Crystal Palace,5.0,0.4,greenyellow,4.8 to 5.2
Tomori,529,46.0,1.7692307692307692,Chelsea,4.4,1.9,green,4.3 to 4.7
Vertonghen,330,54.714285714285715,1.7142857142857142,Spurs,5.2,1.6,greenyellow,4.8 to 5.2
Vestergaard,304,47.53846153846154,1.9230769230769231,Southampton,4.6,2.1,green,4.3 to 4.7
Walker,203,77.07142857142857,2.5,Man City,5.7,10.5,gold,5.3 to 5.7
