web_name,id,avg_minutes,avg_points,team_name,cost,selected_by_percent,color,range
Aarons (NOR),274,81.81818181818181,0.7272727272727273,Norwich,4.3,1.1,green,4.3 to 4.7
Aké,59,66.4,2.6,Bournemouth,4.9,6.8,greenyellow,4.8 to 5.2
Alderweireld,331,81.0,3.0,Spurs,5.4,5.2,gold,5.3 to 5.7
Alexander-Arnold,182,89.27272727272727,4.636363636363637,Liverpool,7.4,37.2,red,7.3 and over
Aurier,336,64.4,3.1,Spurs,5.1,7.4,greenyellow,4.8 to 5.2
Azpilicueta,105,72.0,2.5,Chelsea,5.8,4.8,orange,5.8 to 6.2
Balbuena,382,54.0,1.5,West Ham,4.3,0.4,green,4.3 to 4.7
Baldock,294,90.0,4.2,Sheffield Utd,5.0,11.3,greenyellow,4.8 to 5.2
Bardsley,86,49.09090909090909,1.1818181818181819,Burnley,4.3,0.2,green,4.3 to 4.7
Basham,423,85.6,3.4,Sheffield Utd,4.5,0.7,green,4.3 to 4.7
Bednarek,307,90.0,1.4545454545454546,Southampton,4.4,0.7,green,4.3 to 4.7
Bertrand,305,61.09090909090909,1.4545454545454546,Southampton,4.8,0.6,greenyellow,4.8 to 5.2
Burn,475,83.72727272727273,2.5454545454545454,Brighton,4.5,0.3,green,4.3 to 4.7
Cahill,503,54.0,1.8,Crystal Palace,4.4,1.1,green,4.3 to 4.7
Cathcart,358,74.81818181818181,3.3636363636363638,Watford,4.3,1.7,green,4.3 to 4.7
Chilwell,161,81.0,3.1,Leicester,5.7,11.2,gold,5.3 to 5.7
Coady,403,90.0,2.5,Wolves,5.0,1.6,greenyellow,4.8 to 5.2
Coleman,144,45.4,2.0,Everton,5.3,1.2,gold,5.3 to 5.7
Cresswell,376,67.3,2.4,West Ham,4.7,1.4,green,4.3 to 4.7
Cédric,486,59.63636363636363,1.6363636363636365,Southampton,4.8,0.2,greenyellow,4.8 to 5.2
David Luiz,106,81.81818181818181,3.090909090909091,Arsenal,5.7,4.8,gold,5.3 to 5.7
Dawson,439,58.90909090909091,1.0909090909090908,Watford,4.8,0.2,greenyellow,4.8 to 5.2
Delph,205,52.1,1.8,Everton,5.3,0.2,gold,5.3 to 5.7
Digne,141,87.3,4.7,Everton,5.7,11.7,gold,5.3 to 5.7
Diop,381,69.3,1.6,West Ham,4.4,2.2,green,4.3 to 4.7
Doherty,401,73.9,5.3,Wolves,6.1,4.9,orange,5.8 to 6.2
Duffy (BHA),37,45.81818181818182,1.7272727272727273,Brighton,4.8,1.0,greenyellow,4.8 to 5.2
Dummett,255,55.45454545454545,2.4545454545454546,Newcastle,4.4,0.2,green,4.3 to 4.7
Dunk,42,81.81818181818181,3.4545454545454546,Brighton,4.7,13.5,green,4.3 to 4.7
Egan,295,79.8,3.4,Sheffield Utd,4.5,0.9,green,4.3 to 4.7
Emerson,107,55.4,1.4,Chelsea,5.5,0.8,gold,5.3 to 5.7
Engels,455,69.7,2.3,Aston Villa,4.5,0.5,green,4.3 to 4.7
