player_name,games,goals,key_passes,xG,xA,first_name,second_name,id
Bernardo Silva,8,4,9,3.1754990443587303,2.093427211046219,,,218
Wesley,9,4,5,4.7767365127801895,0.5398087222129107,,,428
Gabriel Jesus,6,3,3,3.222501512616873,0.19096752628684044,,,211
Jota,,,,,,,,36
Son Heung-Min,7,2,11,1.117478254251182,1.0735066197812555,,,342
N&#039;Golo KantÃ©,10,3,15,1.1569828279316423,1.0308481492102146,,,119
Ricardo Pereira,9,2,10,0.5329187940806149,0.4404010344296694,,,159
Tanguy NDombele Alvaro,7,2,4,0.28604286536574364,0.17859643884003162,,,442
Richarlison,9,2,8,2.0149682965129614,1.3715554140508175,,,150
Douglas Luiz,7,2,3,0.18281825259327888,0.4352711252868176,,,470
Bernard,7,2,6,0.5991959348320961,0.2739022821187973,,,152
Joelinton,9,1,9,1.394989550113678,0.509857177734375,,,466
Chicharito,2,1,0,0.8829848766326904,0.0,,,386
Dele Alli,2,1,2,0.5200299024581909,0.06320858001708984,,,344
Willian,8,1,7,1.0818054415285587,0.9325265754014254,,,113
Jorginho,9,1,10,0.8912301529198885,1.509361364878714,,,118
David Luiz,8,1,0,0.1841808743774891,0.0,,,106
Rodri,9,1,14,0.22994625382125375,1.004950324073434,,,443
Lucas Moura,7,1,5,1.1078850887715816,0.4150767512619496,,,345
Romain Saiss,6,1,0,1.070218762382865,0.0,,,407
Nicolas Pepe,9,1,13,2.923627905547619,1.2705763690173626,,,488
RÃºben Neves,17,2,12,0.5916269030421972,0.8998344447463751,,,414
Ralf FÃ¤hrmann,1,0,0,0.0,0.0,,,449
Sokratis,9,0,2,0.087061308324337,0.7529756426811218,,,5
Adrián,8,0,0,0.0,0.0,,,526
Fernandinho,5,0,1,0.022437099367380142,0.04038470983505249,,,221
Pedro,3,0,8,1.2285369411110878,0.3078187964856625,,,114
Ki Sung-yueng,3,0,2,0.0,0.055116582661867135,,,268
Ben Chilwell,7,0,5,0.05585273168981075,0.4498655702918768,,,161
Oriol Romeu,9,0,7,0.12581687234342098,0.4596923589706421,,,328
Angelino,1,0,2,0.0,0.7985694408416748,,,440
Felipe Anderson,8,0,12,1.138715084642172,1.7721422873437405,,,390
Emerson,5,0,6,0.4614586904644966,0.7039824388921261,,,107
Alisson,2,0,0,0.0,0.0,,,189
Ahmed Elmohamady,5,0,7,0.0,0.6188324317336082,,,22
Isaac Success,2,0,1,0.09479810297489166,0.05467768758535385,,,365
Diogo Jota,5,0,4,0.050109053030610085,0.5682314299046993,,,410
Jonny,8,0,2,0.221926711499691,0.12135466560721395,,,402
JoÃ£o Cancelo,6,0,5,0.19452588818967345,1.3101507127285004,,,518
AndrÃ© Gomes,8,0,6,0.036838367581367486,0.3579856604337692,,,422
Mat Ryan,9,0,0,0.0,0.0,,,47
Dani Ceballos,9,0,9,0.28674713522195816,0.4600708074867725,,,469
Frederic Guilbert,7,0,5,0.2016809731721878,0.9625214729458094,,,458
Djibril Sidibe,2,0,1,0.0,0.3981982469558716,,,511
Fabinho,9,0,11,0.049681139178574085,0.8219836037606001,,,197
JoÃ£o Moutinho,17,1,35,0.3300929693505168,2.8768465593457218,,,415
Kiko FemenÃ­a,13,0,11,0.08743352815508842,0.8239034544676542,,,357
Kepa,9,0,0,0.0,0.0,,,111
Roberto JimÃ©nez,7,0,0,0.0,0.0,,,450
JesÃºs Vallejo,2,0,0,0.0,0.0,,,473
Bernardo,2,0,1,0.0,0.3025363683700561,,,39
Caglar SÃ¶yÃ¼ncÃ¼,17,1,2,0.5921233631670475,0.188805827870965,,,164
Ismaila Sarr,5,0,2,0.19974360056221485,0.5180182326585054,,,525
Solly March,6,0,8,0.3431487269699573,0.9336359575390816,,,55
Ederson,9,0,0,0.0,0.0,,,212
Pedro Neto,5,0,2,0.06651783734560013,0.9038633108139038,,,528
Joe Willock,8,0,7,0.10947296768426897,0.4007529728114605,,,490
Fred,5,0,3,0.14186332747340202,0.16798698902130127,,,244
Rui PatrÃ­cio,17,0,0,0.0,0.0,,,411
RÃºben Vinagre,6,0,1,0.033274199813604355,0.048923056572675705,,,406
BjÃ¶rn Engels,13,0,0,0.20441625453531745,0.0,,,455
Diogo Dalot,1,0,0,0.0,0.0,,,229
Max Aarons,7,0,4,0.17677532695233822,0.813019247725606,,,274
Jack O&#039;Connell,9,0,2,0.3174935467541218,0.7058014422655106,,,293
TrÃ©zÃ©guet,15,3,8,2.776026278734207,0.4056495670229197,,,465
Gabriel Martinelli,3,0,0,0.08024445176124573,0.0,,,504
Muhamed Besic,1,0,0,0,0,Muhamed,Besic,522
Sergio AgÃ¼ero,12,9,13,8.482087880373001,2.180391475558281,,,210
Sadio ManÃ©,16,9,31,6.828217342495918,4.123321946710348,,,192
RaÃºl JimÃ©nez,17,6,29,5.899439118802548,4.908503770828247,,,409
