web_name,id,avg_minutes,avg_points,team_name,cost,selected_by_percent,color,range
Abraham,460,79.6923076923077,5.769230769230769,Chelsea,7.6,20.3,greenyellow,7.0 to 7.9
Aubameyang,11,80.23076923076923,5.923076923076923,Arsenal,10.9,19.0,darkorange,10.0 to 10.9
Ayew,468,78.76923076923077,3.230769230769231,Crystal Palace,5.0,7.9,green,5.0 to 5.9
Barnes (BUR),90,46.84615384615385,1.8461538461538463,Burnley,6.1,2.2,lime,6.0 to 6.9
Callum Wilson,67,77.92857142857143,2.857142857142857,Bournemouth,7.4,4.8,greenyellow,7.0 to 7.9
Calvert-Lewin,147,70.92857142857143,3.7857142857142856,Everton,6.2,13.6,lime,6.0 to 6.9
Deeney,362,48.142857142857146,2.0,Watford,6.2,1.7,lime,6.0 to 6.9
Deulofeu,363,74.21428571428571,2.9285714285714284,Watford,6.1,2.7,lime,6.0 to 6.9
Firmino,187,89.07692307692308,6.0,Liverpool,9.7,18.4,orange,9.0 to 9.9
Haller,457,64.28571428571429,3.2857142857142856,West Ham,6.8,2.3,lime,6.0 to 6.9
Ings,313,66.46153846153847,4.923076923076923,Southampton,7.1,33.5,greenyellow,7.0 to 7.9
Jesus,211,51.785714285714285,4.285714285714286,Man City,9.5,2.5,orange,9.0 to 9.9
Jiménez,409,82.84615384615384,5.153846153846154,Wolves,7.9,29.5,greenyellow,7.0 to 7.9
Joelinton,466,77.07142857142857,2.5714285714285716,Newcastle,5.5,0.9,green,5.0 to 5.9
Jota (WOL),410,57.69230769230769,3.076923076923077,Wolves,6.2,4.1,lime,6.0 to 6.9
Kane,338,63.142857142857146,3.142857142857143,Spurs,10.8,8.6,darkorange,10.0 to 10.9
King (BOU),68,54.357142857142854,1.6428571428571428,Bournemouth,6.1,3.3,lime,6.0 to 6.9
Maupay,502,64.78571428571429,3.2142857142857144,Brighton,5.8,1.9,green,5.0 to 5.9
McGoldrick,303,46.07692307692308,1.6153846153846154,Sheffield Utd,5.4,0.2,green,5.0 to 5.9
Pukki,278,83.0,3.642857142857143,Norwich,6.5,13.1,lime,6.0 to 6.9
Rashford,233,73.6923076923077,4.3076923076923075,Man Utd,8.9,9.8,gold,8.0 to 8.9
Rodriguez,451,50.69230769230769,2.4615384615384617,Burnley,5.7,0.4,green,5.0 to 5.9
Samatta,613,90.0,5.0,Aston Villa,6.0,0.3,lime,6.0 to 6.9
Vardy,166,76.15384615384616,5.846153846153846,Leicester,9.7,36.1,orange,9.0 to 9.9
Wesley,428,64.64285714285714,3.0714285714285716,Aston Villa,5.5,0.9,green,5.0 to 5.9
Wood,91,69.0,3.5384615384615383,Burnley,6.2,1.3,lime,6.0 to 6.9
