web_name,id,avg_minutes,avg_points,team_name,cost,selected_by_percent,color,range
Abraham,460,64.375,5.0,Chelsea,7.9,35.8,greenyellow,7.0 to 7.9
Agüero,210,64.375,5.25,Man City,11.8,10.5,orangered,11.0 to 11.9
Aubameyang,11,90.0,4.875,Arsenal,10.9,20.4,darkorange,10.0 to 10.9
Ayew,468,79.75,2.625,Crystal Palace,5.1,7.3,green,5.0 to 5.9
Barnes (BUR),90,67.375,4.0,Burnley,6.3,3.4,lime,6.0 to 6.9
Callum Wilson,67,83.75,4.5,Bournemouth,7.5,5.8,greenyellow,7.0 to 7.9
Deulofeu,363,74.875,2.875,Watford,6.1,2.3,lime,6.0 to 6.9
Firmino,187,70.0,3.375,Liverpool,9.4,9.2,orange,9.0 to 9.9
Gray (WAT),364,58.25,2.0,Watford,5.6,0.4,green,5.0 to 5.9
Haller,457,81.25,3.375,West Ham,7.0,2.5,greenyellow,7.0 to 7.9
Ings,313,62.0,5.25,Southampton,6.3,11.3,lime,6.0 to 6.9
Jiménez,409,85.0,4.75,Wolves,7.5,19.3,greenyellow,7.0 to 7.9
Joelinton,466,77.125,1.75,Newcastle,5.6,1.0,green,5.0 to 5.9
Jota (WOL),410,67.0,1.375,Wolves,6.1,3.1,lime,6.0 to 6.9
Kane,338,89.25,6.25,Spurs,10.9,19.1,darkorange,10.0 to 10.9
King (BOU),68,59.75,4.25,Bournemouth,6.1,4.2,lime,6.0 to 6.9
Lacazette,12,56.375,5.125,Arsenal,9.3,2.1,orange,9.0 to 9.9
Maupay,502,78.625,4.875,Brighton,5.8,1.1,green,5.0 to 5.9
McGoldrick,303,59.625,1.375,Sheffield Utd,5.4,0.3,green,5.0 to 5.9
Pukki,278,89.125,6.875,Norwich,6.6,17.9,lime,6.0 to 6.9
Rashford,233,88.5,7.25,Man Utd,8.9,23.1,gold,8.0 to 8.9
Vardy,166,90.0,7.875,Leicester,10.1,50.4,darkorange,10.0 to 10.9
Wesley,428,87.125,2.625,Aston Villa,5.8,1.7,green,5.0 to 5.9
Wood,91,74.75,3.25,Burnley,6.2,1.1,lime,6.0 to 6.9
