web_name,id,avg_minutes,avg_points,team_name,cost,selected_by_percent,color,range
Almirón,266,86.875,2.375,Newcastle,5.8,0.4,green,5.0 to 5.9
Alzate,537,59.5,1.6666666666666667,Brighton,4.5,0.1,darkgreen,Less than 5.0
Barnes (LEI),172,68.5,3.5,Leicester,5.9,1.0,green,5.0 to 5.9
Bernardo Silva,218,56.0,4.25,Man City,7.9,10.1,greenyellow,7.0 to 7.9
Billing,476,80.0,1.875,Bournemouth,5.0,0.1,green,5.0 to 5.9
Buendía,283,75.0,3.375,Norwich,6.0,0.8,lime,6.0 to 6.9
Cantwell,287,65.25,4.5,Norwich,4.7,19.4,darkgreen,Less than 5.0
Capoue,373,56.25,1.125,Watford,4.8,0.3,darkgreen,Less than 5.0
Ceballos,469,54.25,2.625,Arsenal,5.3,3.6,green,5.0 to 5.9
Cork,102,78.75,2.125,Burnley,4.9,0.2,darkgreen,Less than 5.0
David Silva,219,68.0,4.875,Man City,7.6,8.5,greenyellow,7.0 to 7.9
De Bruyne,215,74.125,7.125,Man City,10.2,39.0,darkorange,10.0 to 10.9
Dendoncker,420,77.0,2.875,Wolves,4.4,9.9,darkgreen,Less than 5.0
Doucouré,368,88.375,1.875,Watford,5.6,0.9,green,5.0 to 5.9
Douglas Luiz,470,56.875,2.75,Aston Villa,4.5,3.8,darkgreen,Less than 5.0
El Ghazi,30,73.875,3.875,Aston Villa,5.5,1.1,green,5.0 to 5.9
Fabinho,197,67.5,2.75,Liverpool,5.5,1.1,green,5.0 to 5.9
Felipe Anderson,390,72.5,2.5,West Ham,6.7,3.1,lime,6.0 to 6.9
Fernandinho,221,73.625,1.375,Man City,5.2,0.7,green,5.0 to 5.9
Fleck,301,71.0,3.75,Sheffield Utd,4.9,1.4,darkgreen,Less than 5.0
Fraser,75,71.625,2.75,Bournemouth,6.9,3.0,lime,6.0 to 6.9
Fred,244,49.875,1.125,Man Utd,5.3,0.2,green,5.0 to 5.9
Grealish,29,78.75,4.75,Aston Villa,6.0,7.0,lime,6.0 to 6.9
