R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Liverpool,17.1,6.9,10.8,8.4,7.1
2,Manchester City,21.6,6.8,12.7,7.8,7.06
3,Manchester United,16.8,6.3,12.0,11.4,6.91
4,Leicester,13.9,4.7,10.8,11.9,6.89
5,Tottenham,13.3,4.1,12.3,9.5,6.88
6,Chelsea,17.6,5.9,12.1,11.4,6.85
7,Wolverhampton Wanderers,12.9,3.9,14.5,9.6,6.85
8,Arsenal,12.9,4.8,12.1,13.2,6.83
9,Everton,14.4,5.6,11.2,9.9,6.83
10,Newcastle United,11.7,3.8,11.7,10.8,6.82
11,Burnley,11.4,4.4,8.2,9.3,6.81
12,Sheffield United,11.9,3.8,10.0,7.8,6.76
13,Aston Villa,14.2,4.3,11.5,13.1,6.75
14,Crystal Palace,11.8,3.6,11.9,12.5,6.75
15,West Ham,11.5,5.1,10.6,9.2,6.72
16,Brighton,13.0,3.8,9.2,9.3,6.72
17,Watford,14.3,3.6,9.8,9.2,6.7
18,Norwich,12.2,4.6,11.5,10.7,6.67
19,Bournemouth,10.5,3.5,7.2,12.3,6.67
20,Southampton,12.9,4.1,11.6,9.8,6.56
