R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Liverpool,16.0,6.3,10.2,7.6,7.04
2,Manchester City,19.8,7.0,12.6,7.6,7.04
3,Leicester,13.7,5.3,10.8,11.7,6.94
4,Chelsea,16.3,5.6,12.8,10.5,6.87
5,Wolverhampton Wanderers,12.9,4.2,13.9,9.3,6.83
6,Tottenham,12.1,4.6,12.7,10.9,6.79
7,Manchester United,14.9,5.7,11.6,11.6,6.79
8,Sheffield United,10.2,3.3,9.5,7.4,6.75
9,Arsenal,11.2,4.0,11.7,11.7,6.73
10,Crystal Palace,9.8,3.3,11.8,12.5,6.71
11,Burnley,10.1,3.6,6.7,9.7,6.71
12,Everton,13.6,4.8,9.8,10.4,6.7
13,West Ham,10.1,4.3,11.4,9.0,6.69
14,Aston Villa,12.6,4.2,10.3,13.0,6.68
15,Brighton,12.8,4.1,9.3,8.6,6.67
16,Newcastle United,9.8,3.2,10.8,10.8,6.66
17,Southampton,13.1,4.7,11.2,9.6,6.65
18,Bournemouth,10.4,3.3,8.4,10.6,6.64
19,Watford,11.3,3.1,9.2,8.1,6.61
20,Norwich,11.6,3.9,12.0,11.3,6.6
