first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,bonus,selected_by_percent,now_cost,id,team,web_name,form,cost,position,team_name,team_abbr
Shkodran,Mustafi,0,1,6,170,4,0,0,0,0,0.3,52,1,1,Mustafi,0.3,5.2,DEF,Arsenal,ARS
Héctor,Bellerín,0,0,1,262,6,0,0,2,0,0.2,54,2,1,Bellerín,0.0,5.4,DEF,Arsenal,ARS
Sead,Kolasinac,0,2,32,996,17,2,0,3,1,0.5,52,3,1,Kolasinac,1.7,5.2,DEF,Arsenal,ARS
Ainsley,Maitland-Niles,0,2,33,1030,17,3,1,2,3,2.6,46,4,1,Maitland-Niles,2.3,4.6,DEF,Arsenal,ARS
Sokratis,Papastathopoulos,2,0,50,1516,24,3,0,5,5,1.4,49,5,1,Sokratis,2.7,4.9,DEF,Arsenal,ARS
Nacho,Monreal,0,0,10,270,4,1,0,0,1,0.3,50,6,1,Monreal,0.0,5.0,DEF,Arsenal,ARS
Laurent,Koscielny,0,0,0,0,0,0,0,0,0,0.1,50,7,1,Koscielny,0.0,5.0,DEF,Arsenal,ARS
Konstantinos,Mavropanos,0,0,0,0,0,0,0,0,0,0.0,44,8,1,Mavropanos,0.0,4.4,DEF,Arsenal,ARS
Carl,Jenkinson,0,0,0,0,0,0,0,0,0,0.0,45,9,1,Jenkinson,0.0,4.5,DEF,Arsenal,ARS
Rob,Holding,0,0,1,76,2,0,0,0,0,0.1,45,10,1,Holding,0.0,4.5,DEF,Arsenal,ARS
Pierre-Emerick,Aubameyang,13,3,123,1877,30,4,0,3,23,18.4,108,11,1,Aubameyang,5.1,10.8,FWD,Arsenal,ARS
Alexandre,Lacazette,5,2,52,934,15,1,0,4,6,1.6,93,12,1,Lacazette,1.7,9.3,FWD,Arsenal,ARS
Edward,Nketiah,0,0,0,0,0,0,0,0,0,0.6,43,13,1,Nketiah,0.0,4.3,FWD,Arsenal,ARS
Bernd,Leno,0,0,75,1890,30,4,0,2,5,5.2,50,14,1,Leno,3.9,5.0,GKP,Arsenal,ARS
Mesut,Özil,0,2,30,905,15,2,0,0,1,1.0,72,15,1,Özil,2.3,7.2,MID,Arsenal,ARS
Henrikh,Mkhitaryan,0,0,4,110,0,1,0,1,0,0.8,68,16,1,Mkhitaryan,0.0,6.8,MID,Arsenal,ARS
Granit,Xhaka,0,1,33,1274,19,4,0,4,0,0.6,51,18,1,Xhaka,1.7,5.1,MID,Arsenal,ARS
Lucas,Torreira,1,0,34,1073,17,3,0,3,0,1.2,47,19,1,Torreira,2.0,4.7,MID,Arsenal,ARS
Mohamed,Elneny,0,0,0,0,0,0,0,0,0,0.7,43,20,1,Elneny,0.0,4.3,MID,Arsenal,ARS
Matteo,Guendouzi,0,2,39,1410,25,2,0,5,2,6.4,44,21,1,Guendouzi,0.7,4.4,MID,Arsenal,ARS
David,Luiz Moreira Marinho,2,0,52,1620,26,3,0,4,6,4.8,57,106,1,David Luiz,2.4,5.7,DEF,Arsenal,ARS
Emiliano,Martínez,0,0,0,0,0,0,0,0,0,0.2,43,427,1,Martínez,0.0,4.3,GKP,Arsenal,ARS
Calum,Chambers,1,1,42,1102,15,3,0,5,5,1.0,44,467,1,Chambers,2.1,4.4,DEF,Arsenal,ARS
Daniel,Ceballos Fernández,0,2,27,659,10,1,0,0,3,3.2,52,469,1,Ceballos,0.0,5.2,MID,Arsenal,ARS
Nicolas,Pépé,3,3,58,1079,20,2,0,2,5,2.3,91,488,1,Pépé,3.7,9.1,MID,Arsenal,ARS
Reiss,Nelson,0,1,17,436,4,2,0,1,0,0.1,53,489,1,Nelson,1.7,5.3,MID,Arsenal,ARS
Joseph,Willock,0,0,20,544,11,1,0,1,0,0.2,48,490,1,Willock,0.6,4.8,MID,Arsenal,ARS
Gabriel Teodoro,Martinelli Silva,1,1,20,366,6,1,0,1,1,1.6,45,504,1,Martinelli,1.7,4.5,FWD,Arsenal,ARS
Kieran,Tierney,0,0,5,296,6,0,0,1,0,0.4,54,515,1,Tierney,0.3,5.4,DEF,Arsenal,ARS
Bukayo,Saka,0,1,20,695,7,2,0,3,0,0.6,45,541,1,Saka,1.0,4.5,MID,Arsenal,ARS
Emile,Smith Rowe,0,0,4,96,0,1,0,0,0,0.0,44,576,1,Smith Rowe,0.8,4.4,MID,Arsenal,ARS
Tyreece,John-Jules,0,0,0,0,0,0,0,0,0,0.0,45,585,1,John-Jules,0.0,4.5,FWD,Arsenal,ARS
Ahmed,El Mohamady,0,1,20,611,18,1,0,0,5,1.0,42,22,2,El Mohamady,1.9,4.2,DEF,Aston Villa,AVL
James,Chester,0,0,0,0,0,0,0,0,0,0.1,43,23,2,Chester,0.0,4.3,DEF,Aston Villa,AVL
Neil,Taylor,0,0,18,703,13,2,0,2,0,0.2,43,24,2,Taylor,0.1,4.3,DEF,Aston Villa,AVL
Kortney,Hause,0,0,10,450,9,1,0,1,0,0.1,44,25,2,Hause,1.4,4.4,DEF,Aston Villa,AVL
Jonathan,Kodjia,0,0,5,111,6,0,0,1,0,0.1,54,26,2,Kodjia,0.4,5.4,FWD,Aston Villa,AVL
Ørjan,Nyland,0,0,3,87,2,0,0,0,0,0.2,43,27,2,Nyland,0.1,4.3,GKP,Aston Villa,AVL
Conor,Hourihane,3,2,48,769,18,2,0,2,6,0.2,57,28,2,Hourihane,1.9,5.7,MID,Aston Villa,AVL
Jack,Grealish,6,6,94,1703,33,4,0,5,11,17.2,64,29,2,Grealish,5.1,6.4,MID,Aston Villa,AVL
Anwar,El Ghazi,3,4,61,1223,25,4,0,2,0,1.1,55,30,2,El Ghazi,1.3,5.5,MID,Aston Villa,AVL
John,McGinn,3,2,61,1537,30,3,0,2,4,3.9,55,31,2,McGinn,0.9,5.5,MID,Aston Villa,AVL
Andre,Green,0,0,0,0,0,0,0,0,0,0.0,49,32,2,Green,0.0,4.9,MID,Aston Villa,AVL
Birkir,Bjarnason,0,0,0,0,0,0,0,0,0,0.0,45,33,2,Bjarnason,0.0,4.5,MID,Aston Villa,AVL
Keinan,Davis,0,0,6,74,1,0,0,0,0,0.2,43,34,2,Davis,0.0,4.3,MID,Aston Villa,AVL
Henri,Lansbury,0,0,10,178,5,0,0,0,0,0.5,44,35,2,Lansbury,0.7,4.4,MID,Aston Villa,AVL
José Ignacio,Peleteiro Romallo,0,1,15,310,4,2,0,0,0,0.1,58,36,2,Jota,0.4,5.8,MID,Aston Villa,AVL
Tom,Heaton,0,0,59,1794,35,4,0,0,3,5.2,45,94,2,Heaton,3.0,4.5,GKP,Aston Villa,AVL
Matt,Targett,1,2,49,1148,22,3,0,3,9,1.3,44,309,2,Targett,1.1,4.4,DEF,Aston Villa,AVL
Wesley,Moraes,5,1,67,1782,31,6,0,3,7,1.3,56,428,2,Wesley,2.3,5.6,FWD,Aston Villa,AVL
Jed,Steer,0,0,1,7,0,0,0,0,0,0.1,44,429,2,Steer,0.0,4.4,GKP,Aston Villa,AVL
Tyrone,Mings,1,1,45,1462,26,3,0,3,3,2.9,45,445,2,Mings,0.4,4.5,DEF,Aston Villa,AVL
Ezri,Konsa Ngoyo,0,1,22,735,15,2,0,0,0,0.1,43,452,2,Konsa,1.9,4.3,DEF,Aston Villa,AVL
Bjorn,Engels,0,0,34,1221,25,3,0,1,4,0.5,45,455,2,Engels,0.4,4.5,DEF,Aston Villa,AVL
Frédéric,Guilbert,0,2,43,1358,23,4,0,5,2,0.7,44,458,2,Guilbert,0.7,4.4,DEF,Aston Villa,AVL
Mahmoud Ahmed,Ibrahim Hassan,3,1,46,1062,18,3,1,2,2,1.3,52,465,2,Trézéguet,2.4,5.2,MID,Aston Villa,AVL
Douglas Luiz,Soares de Paulo,2,1,52,1231,24,5,0,2,4,3.5,44,470,2,Douglas Luiz,2.4,4.4,MID,Aston Villa,AVL
Lovre,Kalinic,0,0,0,0,0,0,0,0,0,0.1,43,474,2,Kalinic,0.0,4.3,GKP,Aston Villa,AVL
Marvelous,Nakamba,0,0,25,1147,24,1,0,2,0,0.9,44,491,2,Nakamba,1.3,4.4,MID,Aston Villa,AVL
Steve,Cook,1,0,45,1530,27,3,0,3,5,0.3,50,58,3,Steve Cook,0.3,5.0,DEF,Bournemouth,BOU
Nathan,Aké,1,1,50,1384,21,3,0,1,5,6.8,49,59,3,Aké,0.2,4.9,DEF,Bournemouth,BOU
Charlie,Daniels,0,0,3,126,2,0,0,0,0,0.1,43,60,3,Daniels,0.0,4.3,DEF,Bournemouth,BOU
