R,Unnamed: 1,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Kevin De Bruyne Manchester City, 28, M(CLR),FW",13(1),1137,4,9,-,-,2.8,82.5,0.3,3,7.88
2,,"Ricardo Pereira Leicester, 26, D(LR),M(R)",15,1350,2,1,-,-,0.5,80.3,1.3,1,7.73
3,,"James Maddison Leicester, 23, AM(CLR)",14,1235,5,2,1,-,2.8,83.4,0.3,4,7.66
4,,"Sadio Mané Liverpool, 27, AM(CLR),FW",14(1),1239,9,4,1,-,2.4,80.0,1.1,5,7.64
5,,"Wilfred Ndidi Leicester, 22, DMC",14,1260,2,-,2,-,0.9,83.7,2.6,2,7.63
6,,"Riyad Mahrez Manchester City, 28, AM(CLR)",7(4),635,4,3,-,-,1.9,89.5,0.2,2,7.61
7,,"Joel Matip Liverpool, 28, D(C)",7,630,1,-,-,-,0.4,83.1,5.9,-,7.52
8,,"Raheem Sterling Manchester City, 24, M(CLR),FW",14,1224,8,1,4,-,3.1,80.5,0.6,-,7.49
9,,"Bernardo Silva Manchester City, 25, AM(CLR)",9(4),840,5,4,3,-,2.1,87.4,0.4,1,7.47
10,,"Kelechi Iheanacho Leicester, 23, AM(C),FW",0(1),28,1,1,-,-,3.0,81.8,-,-,7.47
11,,"Tammy Abraham Chelsea, 22, FW",13(1),1052,11,3,2,-,3.2,71.2,2.9,4,7.44
12,,"Jamie Vardy Leicester, 32, AM(L),FW",15,1350,14,3,2,-,2.5,72.6,1.5,2,7.43
13,,"Adama Traoré Wolverhampton Wanderers, 23, M(R),FW",12(2),1101,2,3,-,-,0.7,72.0,1.4,2,7.43
14,,"John McGinn Aston Villa, 25, M(C)",15,1350,3,2,1,-,2.5,81.7,0.4,4,7.42
15,,"Raúl Jiménez Wolverhampton Wanderers, 28, FW",15,1300,6,3,2,-,3.3,74.4,2.0,1,7.42
16,,"Rodrigo Manchester City, 23, DMC",11(2),978,2,1,3,-,0.5,91.8,2.5,1,7.42
17,,"David Martin West Ham, 33, GK",2,180,-,-,-,-,-,40.0,0.5,1,7.41
18,,"Jack Grealish Aston Villa, 24, AM(CL)",13,1164,3,4,3,-,2,85.7,0.2,1,7.38
19,,"Trent Alexander-Arnold Liverpool, 21, D(R),M(R)",15,1343,1,6,4,-,1.1,73.8,0.4,1,7.37
20,,"Virgil van Dijk Liverpool, 28, D(C)",15,1350,3,-,1,-,0.9,86.9,5.6,3,7.37
21,,"Marcus Rashford Manchester United, 22, AM(LR),FW",15,1310,9,4,2,-,3.2,76.1,0.7,4,7.36
22,,"Son Heung-Min Tottenham, 27, M(CLR),FW",12(1),1058,4,6,-,1,2.8,86.2,0.5,3,7.36
23,,"Willy Boly Wolverhampton Wanderers, 28, D(C)",8,720,-,1,-,1,-,78.3,4.9,2,7.35
24,,"Dele Alli Tottenham, 23, M(CL)",7(1),632,5,1,1,-,1.6,76.8,0.5,1,7.34
25,,"Sergio Agüero Manchester City, 31, AM(CL),FW",9(3),813,9,2,-,-,3.5,80.6,0.2,1,7.32
26,,"Roberto Firmino Liverpool, 28, M(CLR),FW",13(2),1186,4,4,-,-,2.9,79.4,1.3,1,7.3
27,,"Dejan Lovren Liverpool, 30, D(C)",7,630,-,1,1,-,0.6,83.8,5.3,-,7.28
28,,"Christian Pulisic Chelsea, 21, M(CLR)",9(3),832,5,2,-,-,2.4,81.8,1.1,3,7.27
29,,"Richarlison Everton, 22, AM(CLR),FW",15,1301,5,2,2,-,2.7,65.7,2.6,3,7.27
30,,"Mohamed Salah Liverpool, 27, AM(CLR),FW",12,1015,6,3,-,-,3.5,76.1,0.3,2,7.26
31,,"Willian Chelsea, 31, AM(CLR)",10(4),965,2,3,2,-,2.4,83.6,0.3,-,7.26
32,,"João Moutinho Wolverhampton Wanderers, 33, M(C)",14(1),1260,1,4,2,-,0.6,85.6,0.8,1,7.25
33,,"Wayne Hennessey Crystal Palace, 32, GK",2,180,-,-,-,-,-,53.2,-,-,7.25
34,,"Marcos Alonso Chelsea, 28, D(CL),M(L)",5(2),500,1,2,3,-,0.7,80.9,2.9,-,7.23
35,,"David Silva Manchester City, 33, M(CLR)",12(2),928,3,6,-,-,1.6,86.0,0.2,1,7.23
36,,"Andrew Robertson Liverpool, 25, D(L),M(L)",15,1350,1,5,-,-,0.8,83.7,0.6,2,7.23
37,,"Ben Chilwell Leicester, 22, D(L),M(L)",12,1080,1,3,1,-,0.7,78.5,2.2,-,7.22
38,,"Çaglar Söyüncü Leicester, 23, D(C)",15,1350,1,1,3,-,0.5,89.0,3.3,-,7.21
39,,"Felipe Anderson West Ham, 26, M(CLR),FW",14,1016,-,3,1,-,1.2,79.7,0.4,1,7.19
40,,"Johann Gudmundsson Burnley, 29, AM(CLR)",4,312,1,-,-,-,1.5,57.9,0.8,-,7.19
41,,"Diego Rico Bournemouth, 26, D(L),M(L)",12,1030,-,2,4,-,0.6,69.2,0.8,1,7.16
42,,"Serge Aurier Tottenham, 26, D(CLR),M(R)",10,829,-,2,-,1,0.7,80.3,2.3,-,7.16
43,,"Paul Pogba Manchester United, 26, M(C)",5,450,-,2,-,-,1.8,80.7,2.8,-,7.15
44,,"Nicolas Pépé Arsenal, 24, AM(R),FW",8(5),832,1,2,2,-,2.3,80.1,0.5,1,7.14
45,,"Scott McTominay Manchester United, 22, DMC",13,1157,3,1,1,-,1.5,78.7,1.8,1,7.13
46,,"Matt Targett Aston Villa, 24, D(L),M(L)",9,740,1,2,1,-,0.2,78.0,0.8,1,7.13
47,,"Alexandre Lacazette Arsenal, 28, M(LR),FW",8(2),665,5,1,2,-,2.6,74.6,1.4,1,7.12
48,,"Youri Tielemans Leicester, 22, M(C)",15,1322,3,3,-,-,2.0,81.8,0.7,1,7.12
49,,"Wilfried Zaha Crystal Palace, 27, AM(LR),FW",14(1),1285,2,1,2,-,1.8,81.1,0.2,2,7.12
50,,"Philip Billing Bournemouth, 23, DMC",14,1163,-,1,6,-,1.2,79.2,3.4,-,7.11
51,,"Lucas Digne Everton, 26, D(L),M(L)",15,1333,-,3,1,-,1.0,73.3,3.1,1,7.11
52,,"James Tarkowski Burnley, 27, D(C)",15,1350,1,1,4,-,0.8,69.2,4.8,2,7.11
53,,"Gabriel Jesus Manchester City, 22, AM(LR),FW",6(6),639,5,1,1,-,2.9,86.7,1.4,1,7.11
54,,"Sébastien Haller West Ham, 25, FW",13(1),1174,4,1,1,-,2.1,70.9,6.6,1,7.1
55,,"Aaron Wan-Bissaka Manchester United, 22, D(R)",13,1161,-,-,4,-,0.2,78.8,0.8,-,7.1
