R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1,Manchester City,35,18.1,262,60.8,88.3,15.3,7.01
2,Leicester,28,13.5,161,53.9,82.4,17.2,6.99
3,Liverpool,26,14.7,160,59.9,84.0,18.4,6.97
4,Chelsea,27,15.0,260,56.2,84.0,16.9,6.88
5,Wolverhampton Wanderers,17,12.8,222,45.6,77.4,20.5,6.81
6,Southampton,18,13.5,240,46.5,71.0,21.2,6.75
7,Sheffield United,13,8.4,280,41.5,73.8,23.2,6.73
8,Tottenham,19,10.9,321,50.3,79.2,17.4,6.7
9,West Ham,12,8.9,231,45.2,73.7,22.4,6.67
10,Manchester United,14,12.9,280,53.3,82.4,16.0,6.66
11,Crystal Palace,13,7.7,190,47.0,76.5,22.2,6.66
12,Brighton,15,12.6,221,52.8,82.1,17.0,6.64
13,Arsenal,14,9.4,292,53.9,83.6,12.6,6.62
14,Aston Villa,16,11.0,281,45.8,76.8,17.8,6.61
15,Bournemouth,11,10.4,321,49.0,77.9,22.5,6.61
16,Burnley,14,8.8,290,41.1,66.3,24.7,6.61
17,Everton,18,12.9,283,49.4,77.0,23.6,6.59
18,Watford,11,8.6,261,43.1,72.4,20.6,6.54
19,Norwich,6,10.9,280,50.9,80.8,14.8,6.53
20,Newcastle United,12,8.1,232,38.9,74.9,16.9,6.52
