R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1,Leicester,18,15.8,70,57.5,83.8,17.3,7.08
2,Manchester City,22,22.6,171,59.9,88.7,12.8,7.08
3,Liverpool,24,17.3,61,54.3,83.1,16.0,7.06
4,Tottenham,19,15.8,141,58.2,85.2,18.9,6.98
5,Chelsea,11,18.4,130,57.8,85.5,19.0,6.88
6,Arsenal,14,15.4,221,55.0,82.9,13.8,6.85
7,Newcastle United,9,12.1,141,40.8,72.7,23.5,6.84
8,Aston Villa,11,14.3,140,48.5,79.1,17.5,6.83
9,Manchester United,15,14.4,160,49.9,79.7,13.0,6.82
10,Wolverhampton Wanderers,12,10.9,120,49.6,79.1,22.0,6.81
11,Everton,11,14.0,150,49.0,76.3,22.1,6.76
12,Burnley,12,10.6,100,42.3,66.8,24.6,6.76
13,Brighton,12,13.5,101,54.3,80.5,17.9,6.75
14,Crystal Palace,6,12.3,151,44.1,76.6,18.6,6.74
15,Sheffield United,9,12.1,141,46.2,75.3,23.4,6.72
16,Bournemouth,9,10.6,131,43.8,75.0,17.0,6.67
17,Norwich,13,13.1,110,51.0,81.9,11.8,6.64
18,West Ham,11,11.3,180,49.7,81.2,19.8,6.63
19,Watford,4,15.0,180,47.8,78.6,18.3,6.58
20,Southampton,9,11.8,72,46.5,72.0,18.1,6.41
