R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1,Leicester,39,15.0,170,55.4,82.6,16.8,7.09
2,Manchester City,44,21.1,311,61.3,88.4,14.3,7.07
3,Liverpool,40,16.1,161,57.4,82.8,18.8,6.99
4,Chelsea,31,17.1,260,57.5,85.3,17.7,6.9
5,Tottenham,30,12.5,302,53.5,82.8,17.3,6.81
6,Wolverhampton Wanderers,23,11.9,262,47.0,78.3,21.3,6.8
7,Aston Villa,23,13.1,281,45.9,79.2,14.6,6.77
8,Sheffield United,19,10.4,341,45.5,75.4,23.8,6.75
9,Arsenal,24,12.5,371,54.7,83.9,12.6,6.74
10,Manchester United,25,14.0,340,52.0,81.2,14.3,6.73
11,Newcastle United,17,10.1,232,38.3,73.0,20.3,6.72
12,Crystal Palace,14,9.4,291,45.1,76.3,20.1,6.69
13,Bournemouth,18,11.1,311,47.1,77.0,19.1,6.69
14,Brighton,20,12.6,242,53.6,82.1,16.4,6.68
15,West Ham,18,10.6,311,49.1,79.0,20.0,6.67
16,Burnley,21,10.6,280,42.7,67.9,24.4,6.65
17,Everton,19,13.5,292,50.1,76.5,22.8,6.63
18,Norwich,17,11.6,260,50.9,81.2,13.5,6.6
19,Southampton,18,12.4,212,47.1,73.2,19.0,6.55
20,Watford,9,11.8,341,46.0,76.6,18.4,6.51
