GA,GF,GW,opponent,opponent_name,team,team_name,was_home,pts_won,pts_total,rating,rating_standardized,binned_rating
0,1,1,13,NEW,1,ARS,0,3,3,4,0.6619015109852999,5
3,1,1,17,TOT,2,AVL,0,0,0,-2,-0.8367434195474547,2
1,1,1,15,SHU,3,BOU,1,1,1,1,-0.08742095428107738,3
0,3,1,18,WAT,4,BHA,0,3,3,6,1.161449821162885,6
0,3,1,16,SOU,5,BUR,1,3,3,6,1.161449821162885,6
4,0,1,12,MUN,6,CHE,0,0,0,-4,-1.3362917297250394,1
0,0,1,8,EVE,7,CRY,1,1,1,1,-0.08742095428107738,3
0,0,1,7,CRY,8,EVE,0,1,1,1,-0.08742095428107738,3
0,0,1,20,WOL,9,LEI,1,1,1,1,-0.08742095428107738,3
1,4,1,14,NOR,10,LIV,1,3,3,6,1.161449821162885,6
0,5,1,19,WHU,11,MCI,0,3,3,8,1.6609981313404698,6
0,4,1,6,CHE,12,MUN,1,3,3,7,1.4112239762516774,6
1,0,1,1,ARS,13,NEW,1,0,0,-1,-0.5869692644586623,2
4,1,1,10,LIV,14,NOR,0,0,0,-3,-1.086517574636247,1
1,1,1,3,BOU,15,SHU,0,1,1,1,-0.08742095428107738,3
3,0,1,5,BUR,16,SOU,0,0,0,-3,-1.086517574636247,1
1,3,1,2,AVL,17,TOT,1,3,3,5,0.9116756660740925,5
3,0,1,4,BHA,18,WAT,1,0,0,-3,-1.086517574636247,1
5,0,1,11,MCI,19,WHU,1,0,0,-5,-1.586065884813832,1
0,0,1,9,LEI,20,WOL,0,1,1,1,-0.08742095428107738,3
1,3,2,5,BUR,1,ARS,1,3,6,8,1.1110484036328352,6
5,2,2,3,BOU,2,AVL,1,0,0,-3,-1.173350183275798,1
2,3,2,2,AVL,3,BOU,0,3,4,5,0.488030607203208,4
1,4,2,19,WHU,4,BHA,1,1,4,7,0.9033758048229594,5
2,4,2,1,ARS,5,BUR,0,0,3,5,0.488030607203208,4
5,1,2,9,LEI,6,CHE,1,1,1,-3,-1.173350183275798,1
1,0,2,15,SHU,7,CRY,0,0,1,0,-0.5503323868461707,2
0,1,2,18,WAT,8,EVE,1,3,4,5,0.488030607203208,4
1,1,2,6,CHE,9,LEI,0,1,2,2,-0.13498718922641922,3
2,6,2,16,SOU,10,LIV,0,3,6,10,1.5263936012525867,6
2,7,2,17,TOT,11,MCI,1,1,4,9,1.318721002442711,6
1,5,2,20,WOL,12,MUN,0,1,4,8,1.1110484036328352,6
4,1,2,14,NOR,13,NEW,0,0,0,-3,-1.173350183275798,1
5,4,2,13,NEW,14,NOR,1,3,3,2,-0.13498718922641922,3
1,2,2,7,CRY,15,SHU,1,3,4,5,0.488030607203208,4
5,1,2,10,LIV,16,SOU,1,0,0,-4,-1.3810227820856738,1
3,5,2,11,MCI,17,TOT,0,1,4,6,0.6957032060130838,5
4,0,2,8,EVE,18,WAT,0,0,0,-4,-1.3810227820856738,1
6,1,2,4,BHA,19,WHU,0,1,1,-4,-1.3810227820856738,1
1,1,2,12,MUN,20,WOL,1,1,2,2,-0.13498718922641922,3
4,4,3,10,LIV,1,ARS,0,0,6,6,0.4162866719328203,4
5,4,3,8,EVE,2,AVL,1,3,3,2,-0.4601063216099591,3
5,4,3,11,MCI,3,BOU,1,0,4,3,-0.24100807322426426,3
3,4,3,16,SOU,4,BHA,1,0,4,5,0.19718842354712546,4
3,5,3,20,WOL,5,BUR,0,1,4,6,0.4162866719328203,4
7,4,3,14,NOR,6,CHE,0,3,4,1,-0.6792045699956539,2
2,2,3,12,MUN,7,CRY,0,3,4,4,-0.021909824838569406,3
2,1,3,2,AVL,8,EVE,0,0,4,3,-0.24100807322426426,3
2,3,3,15,SHU,9,LEI,0,3,5,6,0.4162866719328203,4
3,9,3,1,ARS,10,LIV,1,3,9,15,2.388170907404074,6
3,10,3,3,BOU,11,MCI,0,3,7,14,2.1690726590183793,6
3,6,3,7,CRY,12,MUN,1,0,4,7,0.6353849203185151,5
4,2,3,17,TOT,13,NEW,0,3,3,1,-0.6792045699956539,2
8,6,3,6,CHE,14,NOR,1,0,3,1,-0.6792045699956539,2
3,3,3,9,LEI,15,SHU,1,0,4,4,-0.021909824838569406,3
5,3,3,4,BHA,16,SOU,0,3,3,1,-0.6792045699956539,2
4,5,3,13,NEW,17,TOT,1,0,4,5,0.19718842354712546,4
7,1,3,19,WHU,18,WAT,1,0,0,-6,-2.212892308695518,1
7,4,3,18,WAT,19,WHU,0,3,4,1,-0.6792045699956539,2
2,2,3,5,BUR,20,WOL,1,1,3,3,-0.24100807322426426,3
6,6,4,17,TOT,1,ARS,1,1,7,7,0.2470711976472112,4
6,4,4,7,CRY,2,AVL,0,0,3,1,-0.679445793529831,2
8,5,4,9,LEI,3,BOU,0,0,4,1,-0.679445793529831,2
7,4,4,11,MCI,4,BHA,0,0,4,1,-0.679445793529831,2
6,5,4,10,LIV,5,BUR,1,0,4,3,-0.3706067964708169,3
9,6,4,15,SHU,6,CHE,1,1,5,2,-0.5250262950003239,2
2,3,4,2,AVL,7,CRY,1,3,7,8,0.40149069617671823,4
4,4,4,20,WOL,8,EVE,1,3,7,7,0.2470711976472112,4
3,6,4,3,BOU,9,LEI,1,3,8,11,0.8647491917652393,5
3,12,4,5,BUR,10,LIV,0,3,12,21,2.4089441770603095,6
3,14,4,4,BHA,11,MCI,1,3,10,21,2.4089441770603095,6
4,7,4,16,SOU,12,MUN,0,1,5,8,0.40149069617671823,4
5,3,4,18,WAT,13,NEW,1,1,4,2,-0.5250262950003239,2
10,6,4,19,WHU,14,NOR,0,0,3,-1,-0.988284790588845,2
5,5,4,6,CHE,15,SHU,0,1,5,5,-0.06176779941180287,3
6,4,4,12,MUN,16,SOU,1,1,4,2,-0.5250262950003239,2
6,7,4,1,ARS,17,TOT,0,1,5,6,0.09265169911770416,4
8,2,4,13,NEW,18,WAT,0,1,1,-5,-1.6059627847068731,1
7,6,4,14,NOR,19,WHU,1,3,7,6,0.09265169911770416,4
5,4,4,8,EVE,20,WOL,0,0,3,2,-0.5250262950003239,2
8,8,5,18,WAT,1,ARS,0,1,8,8,0.1783082780882758,4
