player_name,games,goals,key_passes,xG,xA,id,SpG,PS%,KeyP,Drb,AvgP,Crosses,ThrB
Jamie Vardy,13,12,8,6.954994983971119,1.509501153603196,166,2.4,72.0,0.6,0.4,12.4,0.1,0.0
Tammy Abraham,13,10,13,7.50422041118145,2.3871511910110708,460,3.1,71.1,1.0,0.2,13.3,0.2,0.0
Sergio Agüero,12,9,13,8.482087880373001,2.180391475558281,210,3.5,80.6,1,1,15.0,0.0,0.0
Pierre-Emerick Aubameyang,13,8,10,5.723733015358447,1.4710784330964088,11,2.6,71.0,0.8,0.5,22.3,0.8,0.0
Sadio Mané,13,8,25,5.5901832431554785,2.536265637725592,192,2.4,80.3,1.9,1.2,30.0,0.2,0.1
Marcus Rashford,13,7,18,8.781240999698639,2.900503957644105,233,3.1,76.5,1.4,1.8,24.2,0.3,0.1
Raheem Sterling,12,7,22,7.089580155909061,4.155450753867626,214,3.1,79.0,1.8,2.3,36.6,0.5,0.3
Harry Kane,12,7,9,5.315604738891125,0.8628008179366589,338,2.7,67.9,0.8,0.5,17.4,0.2,0.0
Danny Ings,13,6,10,4.480161825194955,0.483226996846497,313,2.2,55.4,0.8,0.7,12.1,0.1,0.0
Mohamed Salah,11,6,17,6.751287929713726,1.4529703557491302,191,3.6,76.0,1.5,1.5,27.6,0.5,0.0
Raúl Jiménez,13,6,20,4.732410542666912,2.8950901478528976,409,3.2,73.8,1.5,2.1,26.4,0.1,0.1
Ashley Barnes,12,6,2,6.333432385697961,0.19081328064203265,90,2.9,57.4,0.2,0.5,14.7,0.0,0.0
Chris Wood,11,6,6,7.140892103314401,0.28480820916593075,91,2.2,66.5,0.5,0.1,14.6,0.0,0.0
Teemu Pukki,13,6,17,4.346721816807984,3.0876544248312716,278,2.7,80.3,1.3,0.7,15.6,0.0,0.0
Callum Wilson,13,5,16,4.791890796273948,1.5137680806219578,67,1.5,66.1,1.2,0.7,14.5,0.2,0.1
Christian Pulisic,10,5,13,3.6921238750219354,1.9948461465537548,431,1.9,81.9,1.3,2.2,27.7,0.2,0.1
Bernardo Silva,11,5,16,3.907775796949864,2.689393252134323,218,2.2,87.0,1.5,2.4,38.5,0.5,0.0
Kevin De Bruyne,12,4,44,3.022030148655176,7.048554189503193,215,2.5,82.4,3.8,1.6,48.4,2.9,0.3
Son Heung-Min,11,4,17,2.778085752390325,2.3716136254370213,342,3.1,86.0,1.5,2.2,26.5,0.3,0.2
Roberto Firmino,13,4,17,5.9011766985058784,3.3404708169400688,187,3.2,79.1,1.3,1.8,31.2,0.0,0.0
Jordan Ayew,12,4,7,3.5964560620486736,0.45429927110672,468,1.8,74.4,0.6,1.1,19.8,0.0,0.0
Ayoze Pérez,12,4,8,2.9911795519292355,0.8069222569465637,265,1.5,79.9,0.7,1.5,24.5,0.3,0.0
Lys Mousset,10,4,6,2.2844252195209265,1.6333387065678835,70,1.4,60.5,0.6,1.2,7.6,0.0,0.0
Alexandre Lacazette,8,4,8,2.908053383231163,0.8997301906347275,12,2.6,73.7,1,1,19.0,0.4,0.0
Neal Maupay,13,4,9,5.664863523095846,0.8740658238530159,502,3,83.3,0.7,0.7,18.0,0.2,0.1
Harry Wilson,12,4,7,1.6472001662477849,1.2219931259751322,505,1.9,78.7,0.6,0.2,20.8,0.2,0.3
Sébastien Haller,12,4,11,5.016003664582968,0.7545700687915087,457,2.4,71.7,0.9,0.3,30.1,0.1,0.0
James Maddison,12,4,28,2.6204022504389286,2.053250528872013,171,3.0,83.6,2.3,2.4,47.8,2,0.3
Wesley,13,4,7,5.835600949823856,0.6793745774775743,428,1.8,75.9,0.5,0.5,15.6,0.0,0.0
Mason Mount,13,4,23,3.7143818885087967,1.840046726167202,463,2.6,82.9,1.8,1.1,31.5,1,0.0
Joshua King,12,3,16,3.3966374173760414,1.6982121989130974,68,1.1,66.1,1.3,2.5,20.9,0.2,0.0
Anthony Martial,8,3,7,3.756504494696856,1.1267298609018326,239,2.3,83.5,0.9,1.8,19.8,0.1,0.0
Riyad Mahrez,9,3,21,1.94457533583045,3.942728625610471,217,2.2,89.2,2.3,1.6,34.0,0.4,0.4
N'Golo Kanté,6,3,5,1.1098105981945992,0.3040403686463833,119,1.2,81.3,0.8,0.8,42.8,0.5,0.0
James Ward-Prowse,13,3,20,4.033961594104767,1.49057312682271,321,1.8,76.2,1.5,0.4,33.9,1.7,0.0
Gabriel Jesus,10,3,6,4.860026951879263,0.4032076485455036,211,2.7,87.5,0.6,1.3,12.0,0.0,0.0
Dominic Calvert-Lewin,11,3,3,3.635436534881592,0.12683312967419624,147,1.1,58.3,0.3,0.3,9.4,0.0,0.0
Daniel James,13,3,12,1.9919081479310992,2.678363854065537,243,1.5,76.9,0.9,1.1,24.3,0.7,0.0
Anwar El Ghazi,12,3,14,3.1067402455955744,1.8173697367310524,30,1.9,74.4,1.2,0.8,18.3,0.8,0.0
Youri Tielemans,13,3,21,1.5613397173583508,1.870497141033411,448,2.2,82.0,1.7,1.1,54.2,0.4,0.1
Richarlison,13,3,11,2.9557456206530333,1.868490908294916,150,2.6,65.2,0.8,1.5,23.8,0.2,0.1
Andriy Yarmolenko,12,3,15,1.6811838559806347,3.3316402528434987,392,1.5,81.5,1.3,0.5,23.9,0.3,0.1
Todd Cantwell,13,3,18,3.78343803435564,1.29175422526896,287,1.3,80.2,1.3,1.2,29.9,0.0,0.0
John Lundstram,13,3,12,3.658561270684004,1.9208251610398293,297,1.7,84.3,0.9,0.3,41.2,0.2,0.2
John McGinn,13,3,17,2.837072554975748,1.754896964877844,31,2.8,80.8,1.3,2.6,28.8,0.6,0.1
Aaron Cresswell,8,2,2,0.645528145134449,0.05810348130762578,376,1.1,81.5,0.3,0.3,47.9,0.0,0.0
Gerard Deulofeu,13,2,22,3.021530158817768,2.1404772028326993,363,2.5,83.4,1.8,2.2,23.2,0.5,0.1
David Silva,12,2,14,3.465551391243934,2.6393219642341137,219,1.7,86.6,1.2,1.4,44.8,0.1,0.1
Erik Lamela,9,2,14,1.03964851424098,0.8723603095859289,346,1.3,84.1,1.6,1,30.1,0.7,0.1
Dele Alli,6,2,7,0.7141863498836756,0.6993644684553146,344,1,76.5,1.2,1.2,34.0,0.0,0.3
Jack Grealish,11,2,32,2.838963203132153,3.0638383366167545,29,2.1,85.5,2.8,1.8,44.5,0.4,0.0
Willian,12,2,19,2.1757994778454304,2.4380833003669977,113,2.4,83.0,1.6,1.6,36.3,0.6,0.0
Patrick van Aanholt,13,2,9,1.2528501935303211,0.305631248280406,123,0.9,80.6,0.7,0.1,38.0,0.7,0.0
Jonjo Shelvey,8,2,11,0.401672744192183,1.1758564114570618,269,1.5,72.2,1.4,0.6,32.4,1,0.0
Jay Rodriguez,13,2,1,1.2891634535044432,0.08875156939029694,451,0.8,63.7,0.1,0.4,6.2,0.0,0.0
Ciaran Clark,6,2,1,0.3703078925609589,0.05486181378364563,259,0.7,78.0,0.2,0.7,23.5,0.0,0.0
Adama Traoré,12,2,14,1.0333127416670322,2.141249587759376,417,0.8,70.3,1.2,3.5,21.6,1,0.2
Andre Gray,12,2,9,2.0436574965715413,1.7759182602167132,364,1.3,66.4,0.8,0.3,10.2,0.0,0.0
David Luiz,12,2,1,1.0576141439378262,0.03012360818684101,106,0.8,84.5,0.1,0.3,49.3,0.2,0.1
Robert Snodgrass,8,2,15,1.1201527882367373,1.3594663105905056,393,0.9,80.1,1.9,1,24.5,1.9,0.0
Oliver McBurnie,11,2,3,1.1736672604456544,0.4216942936182022,501,1,60.6,0.3,0.5,11.5,0.0,0.1
Jeff Hendrick,10,2,3,0.9600319713354112,0.2312304815277457,100,1.2,78.2,0.3,0.5,22.0,0.1,0.0
Lucas Moura,11,2,6,2.508065540343523,0.465365432202816,345,1.7,80.1,0.5,1.4,15.5,0.0,0.1
Ricardo Pereira,13,2,11,0.5512758698314428,0.4553273739293218,159,0.5,79.7,0.8,2.0,57.5,0.2,0.0
Wilfred Ndidi,12,2,6,0.7082786839455366,0.19029133580625054,176,0.9,84.2,0.5,0.8,48.1,0.0,0.0
Luka Milivojevic,12,2,16,1.8116375152021649,1.189271063543856,134,1.1,80.6,1.3,0.3,46.8,1.7,0.0
Scott McTominay,12,2,9,1.6489651165902617,1.1521417628973722,248,1.7,78.9,0.8,1.5,49.8,0.2,0.1
Tanguy Ndombele,10,2,8,0.3215308031067252,0.3409915063530207,442,0.7,82.8,0.8,1.3,30.9,0.0,0.0
Douglas Luiz,11,2,3,0.437114205211401,0.4352711252868176,470,1.3,86.1,0.3,0.7,28.8,0.1,0.0
Rúben Neves,13,2,8,0.4556090496480465,0.707414036616683,414,1.7,77.7,0.6,0.3,46.9,0.2,0.1
Bernard,8,2,6,0.5991959348320961,0.2739022821187973,152,0.5,72.3,0.8,1.5,19.9,0.1,0.0
