player_name,games,goals,key_passes,xG,xA,id,SpG,PS%,KeyP,Drb,AvgP,Crosses,ThrB
Rodrigo,9,1,14,0.229946,1.00495,443,0.7,91.9,1.7,1.3,73.9,0.0,0.1
Nicolas Pépé,9,1,13,2.923628,1.270576,488,2.7,79.9,1.4,3.3,26.6,0.9,0.1
Johann Gudmundsson,4,1,7,0.345034,0.528782,96,1.5,57.1,1.8,0.8,14.0,2.3,0.0
Angeliño,1,0,2,0.0,0.798569,440,0.0,78.1,2.0,1.0,32.0,3,0.0
Çaglar Söyüncü,9,0,1,0.099212,0.025244,164,0.3,87.4,0.1,0.3,66.2,0.0,0.0
N'Golo Kanté,4,2,1,0.664914,0.04172,119,1.0,74.8,0.3,0.8,34.8,0.0,0.0
Jack O'Connell,9,0,2,0.317494,0.705801,293,0.7,75.0,0.2,0.2,42.2,0.1,0.1
Tanguy Ndombele,7,2,4,0.286043,0.178596,442,0.7,83.4,0.6,1.3,31.9,0.0,0.0
Séamus Coleman,8,0,5,0.699939,1.329178,144,0.5,78.5,0.6,3.3,44.3,0.3,0.0
Djibril Sidibé,2,0,1,0.0,0.398198,511,0.0,80.6,0.5,0.0,31.0,1,0.0
Ezri Konsa,1,0,0,0.0,0.0,452,0.0,83.3,0.0,0.0,6.0,0.0,0.0
Alex Oxlade Chamberlain,6,0,2,0.292466,0.065838,193,1.2,89.0,0.3,1.2,24.2,0.2,0.0
Ahmed El Mohamady,5,0,7,0.0,0.618832,22,0.0,88.6,1.4,0.2,24.6,0.8,0.0
Eric García,1,0,0,0.0,0.0,544,0.0,95.8,0.0,0.0,24.0,0.0,0.0
Joe Gomez,2,0,1,0.0,0.022034,184,0.0,83.3,0.5,0.0,27.0,0.0,0.0
Romain Saïss,6,1,0,1.070219,0.0,407,0.5,74.7,0.0,0.0,27.7,0.0,0.0
Kepa Arrizabalaga,9,0,0,0.0,0.0,111,0.0,77.7,0.0,0.0,29.9,0.0,0.0
