R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Leicester,10.6,21.9,11.4,11.4,2.0,7.05
2,Manchester City,7.9,13.8,8.4,8.5,3.1,7.05
3,Chelsea,11.1,18.6,14.0,10.0,0.7,6.94
4,Liverpool,10.4,14.1,8.7,9.9,1.0,6.87
5,Wolverhampton Wanderers,13.4,19.7,11.0,13.1,1.7,6.82
6,Sheffield United,13.1,16.6,13.4,11.7,2.6,6.76
7,Aston Villa,22.4,19.8,12.3,11.0,1.1,6.72
8,West Ham,15.9,19.9,11.8,11.4,2.4,6.71
9,Bournemouth,15.3,14.4,14.1,9.9,1.1,6.7
10,Southampton,12.9,16.4,10.6,13.0,0.9,6.68
11,Crystal Palace,16.0,17.0,12.6,11.7,1.0,6.65
12,Tottenham,17.5,17.4,9.4,10.6,2.4,6.63
13,Burnley,15.6,12.0,9.4,11.4,1.3,6.63
14,Brighton,16.6,17.3,10.5,11.3,2.6,6.62
15,Newcastle United,16.0,15.6,10.0,7.9,2.9,6.61
16,Manchester United,10.1,16.9,7.4,9.4,1.4,6.59
17,Norwich,15.6,14.9,9.9,9.5,1.6,6.57
18,Arsenal,17.6,15.7,7.6,8.7,2.0,6.56
19,Everton,9.3,17.0,12.6,13.5,1.3,6.5
20,Watford,13.9,19.4,11.9,10.6,1.3,6.45
