player_name,games,goals,key_passes,xG,xA,first_name,second_name,id
Bernardo Silva,8,4,9,3.1754990443587303,2.093427211046219,,,218
Wesley,9,4,5,4.7767365127801895,0.5398087222129107,,,428
Gabriel Jesus,6,3,3,3.222501512616873,0.19096752628684044,,,211
Jota,,,,,,,,36
Son Heung-Min,7,2,11,1.117478254251182,1.0735066197812555,,,342
N&#039;Golo Kanté,4,2,1,0.6649142056703568,0.041720252484083176,,,119
Ricardo Pereira,9,2,10,0.5329187940806149,0.4404010344296694,,,159
Tanguy NDombele Alvaro,7,2,4,0.28604286536574364,0.17859643884003162,,,442
Richarlison,9,2,8,2.0149682965129614,1.3715554140508175,,,150
Douglas Luiz,7,2,3,0.18281825259327888,0.4352711252868176,,,470
Bernard,7,2,6,0.5991959348320961,0.2739022821187973,,,152
Joelinton,9,1,9,1.394989550113678,0.509857177734375,,,466
Chicharito,2,1,0,0.8829848766326904,0.0,,,386
Dele Alli,2,1,2,0.5200299024581909,0.06320858001708984,,,344
Willian,8,1,7,1.0818054415285587,0.9325265754014254,,,113
Jorginho,9,1,10,0.8912301529198885,1.509361364878714,,,118
David Luiz,8,1,0,0.1841808743774891,0.0,,,106
Rodri,9,1,14,0.22994625382125375,1.004950324073434,,,443
Lucas Moura,7,1,5,1.1078850887715816,0.4150767512619496,,,345
Romain Saiss,6,1,0,1.070218762382865,0.0,,,407
Nicolas Pepe,9,1,13,2.923627905547619,1.2705763690173626,,,488
Rúben Neves,9,1,3,0.1706007495522499,0.3056677728891373,,,414
Ralf Fährmann,1,0,0,0.0,0.0,,,449
Sokratis,9,0,2,0.087061308324337,0.7529756426811218,,,5
Adrián,8,0,0,0.0,0.0,,,526
Fernandinho,5,0,1,0.022437099367380142,0.04038470983505249,,,221
Pedro,3,0,8,1.2285369411110878,0.3078187964856625,,,114
Ki Sung-yueng,3,0,2,0.0,0.055116582661867135,,,268
Ben Chilwell,7,0,5,0.05585273168981075,0.4498655702918768,,,161
Oriol Romeu,9,0,7,0.12581687234342098,0.4596923589706421,,,328
Angelino,1,0,2,0.0,0.7985694408416748,,,440
Felipe Anderson,8,0,12,1.138715084642172,1.7721422873437405,,,390
Emerson,5,0,6,0.4614586904644966,0.7039824388921261,,,107
Alisson,2,0,0,0.0,0.0,,,189
Ahmed Elmohamady,5,0,7,0.0,0.6188324317336082,,,22
Isaac Success,2,0,1,0.09479810297489166,0.05467768758535385,,,365
Diogo Jota,5,0,4,0.050109053030610085,0.5682314299046993,,,410
Jonny,8,0,2,0.221926711499691,0.12135466560721395,,,402
João Cancelo,4,0,5,0.13579657673835754,1.3101507127285004,,,518
André Gomes,6,0,5,0.011384276673197745,0.3326112180948257,,,422
Mat Ryan,9,0,0,0.0,0.0,,,47
Dani Ceballos,9,0,9,0.28674713522195816,0.4600708074867725,,,469
Frederic Guilbert,7,0,5,0.2016809731721878,0.9625214729458094,,,458
Djibril Sidibe,2,0,1,0.0,0.3981982469558716,,,511
Fabinho,9,0,11,0.049681139178574085,0.8219836037606001,,,197
João Moutinho,9,0,13,0.022454634308815,0.8543776273727417,,,415
Kiko Femenía,7,0,8,0.08743352815508842,0.7109363116323948,,,357
Kepa,9,0,0,0.0,0.0,,,111
Roberto Jiménez,3,0,0,0.0,0.0,,,450
Jesús Vallejo,2,0,0,0.0,0.0,,,473
Bernardo,2,0,1,0.0,0.3025363683700561,,,39
Caglar Söyüncü,9,0,1,0.099211648106575,0.02524409629404545,,,164
Ismaila Sarr,5,0,2,0.19974360056221485,0.5180182326585054,,,525
Solly March,6,0,8,0.3431487269699573,0.9336359575390816,,,55
Ederson,9,0,0,0.0,0.0,,,212
Pedro Neto,5,0,2,0.06651783734560013,0.9038633108139038,,,528
Joe Willock,8,0,7,0.10947296768426897,0.4007529728114605,,,490
Fred,5,0,3,0.14186332747340202,0.16798698902130127,,,244
Rui Patrício,9,0,0,0.0,0.0,,,411
Rúben Vinagre,2,0,0,0.033274199813604355,0.0,,,406
Björn Engels,9,0,0,0.20441625453531745,0.0,,,455
Diogo Dalot,1,0,0,0.0,0.0,,,229
Max Aarons,7,0,4,0.17677532695233822,0.813019247725606,,,274
Jack O&#039;Connell,9,0,2,0.3174935467541218,0.7058014422655106,,,293
Trézéguet,8,0,6,1.1074566543102264,0.2749770525842905,,,465
Gabriel Martinelli,3,0,0,0.08024445176124573,0.0,,,504
Muhamed Besic,1,0,0,0,0,Muhamed,Besic,522
