R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Manchester City,20.9,7.1,13.0,7.4,7.09
2,Leicester,14.5,5.3,11.3,10.3,7.07
3,Liverpool,15.8,6.2,8.9,8.9,6.97
4,Chelsea,17.3,6.5,13.3,10.7,6.91
5,Wolverhampton Wanderers,11.9,4.0,11.7,8.8,6.81
6,Aston Villa,12.9,5.2,10.1,13.7,6.8
7,Tottenham,12.5,4.3,11.5,10.5,6.75
8,Sheffield United,10.5,3.6,8.7,7.9,6.74
9,Arsenal,12.7,4.7,12.9,11.4,6.72
10,Manchester United,14.2,5.3,10.5,12.4,6.71
11,Bournemouth,11.7,4.0,9.5,10.8,6.71
12,Newcastle United,10.0,3.5,10.3,9.0,6.7
13,Burnley,10.9,4.0,6.9,9.8,6.7
14,Crystal Palace,9.8,3.4,10.7,12.3,6.69
15,West Ham,10.6,4.7,10.7,10.1,6.68
16,Brighton,12.5,3.8,8.8,8.3,6.68
17,Everton,13.5,4.5,10.6,9.9,6.61
18,Norwich,11.5,3.9,12.1,11.1,6.61
19,Southampton,12.0,4.3,11.7,8.8,6.54
20,Watford,11.7,3.3,9.3,7.3,6.49
