R,Unnamed: 1,Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Kevin De Bruyne Manchester City, 28, M(CLR),FW",11(1),967,9,3.8,48.4,82.4,2.9,3.4,0.3,7.84
2,,"Riyad Mahrez Manchester City, 28, AM(CLR)",6(3),548,3,2.3,34.0,89.2,0.4,2.1,0.4,7.74
3,,"James Maddison Leicester, 23, AM(CLR)",12,1055,2,2.3,47.8,83.6,2,2.2,0.3,7.7
4,,"Wilfred Ndidi Leicester, 22, DMC",12,1080,-,0.5,48.1,84.2,-,2.7,-,7.64
5,,"Ricardo Pereira Leicester, 26, D(LR),M(R)",13,1170,-,0.8,57.5,79.7,0.2,2.2,-,7.64
6,,"Phil Bardsley Burnley, 34, D(LR)",2,180,-,0.5,24.5,55.1,-,1.5,0.5,7.57
7,,"Bernardo Silva Manchester City, 25, AM(CLR)",8(3),729,2,1.5,38.5,87.0,0.5,0.5,-,7.57
8,,"Raheem Sterling Manchester City, 24, M(CLR),FW",12,1062,1,1.8,36.6,79.0,0.5,0.3,0.3,7.55
9,,"Joel Matip Liverpool, 28, D(C)",7,630,-,0.1,70.1,83.1,-,2.9,-,7.52
10,,"Sadio Mané Liverpool, 27, AM(CLR),FW",12(1),1059,2,1.9,30.0,80.3,0.2,0.8,0.1,7.5
11,,"John McGinn Aston Villa, 25, M(C)",13,1170,2,1.3,28.8,80.8,0.6,3.5,0.1,7.46
12,,"Jamie Vardy Leicester, 32, AM(L),FW",13,1170,3,0.6,12.4,72.0,0.1,0.2,-,7.46
13,,"Rodrigo Manchester City, 23, DMC",10(1),882,1,1.5,70.5,92.0,-,5.6,0.1,7.43
14,,"Jack Grealish Aston Villa, 24, AM(CL)",11,984,4,2.8,44.5,85.5,0.4,2.5,-,7.43
15,,"Roberto Firmino Liverpool, 28, M(CLR),FW",12(1),1093,3,1.3,31.2,79.1,-,0.9,-,7.42
16,,"Adama Traoré Wolverhampton Wanderers, 23, M(R),FW",10(2),922,3,1.2,21.6,70.3,1,0.3,0.2,7.4
17,,"Tammy Abraham Chelsea, 22, FW",12(1),970,2,1.0,13.3,71.1,0.2,0.2,-,7.39
18,,"Raúl Jiménez Wolverhampton Wanderers, 28, FW",13,1126,2,1.5,26.4,73.8,0.1,1.2,0.1,7.38
19,,"Willy Boly Wolverhampton Wanderers, 28, D(C)",8,720,1,0.6,42.6,78.3,-,2.1,-,7.35
20,,"Trent Alexander-Arnold Liverpool, 21, D(R),M(R)",13,1170,3,3.5,64.2,74.1,2.8,5.2,-,7.35
21,,"Mohamed Salah Liverpool, 27, AM(CLR),FW",11,946,3,1.5,27.6,76.0,0.5,0.1,-,7.33
22,,"Andrew Robertson Liverpool, 25, D(L),M(L)",13,1170,5,1.5,69.2,83.9,1.1,2.5,-,7.32
23,,"Sergio Agüero Manchester City, 31, AM(CL),FW",9(3),813,2,1,15.0,80.6,-,-,-,7.32
24,,"Christian Pulisic Chelsea, 21, M(CLR)",7(3),656,2,1.3,27.7,81.9,0.2,0.3,0.1,7.3
25,,"Marcus Rashford Manchester United, 22, AM(LR),FW",13,1130,4,1.4,24.2,76.5,0.3,0.8,0.1,7.27
26,,"Çaglar Söyüncü Leicester, 23, D(C)",13,1170,1,0.1,68.2,88.2,-,2.7,-,7.26
27,,"Virgil van Dijk Liverpool, 28, D(C)",13,1170,-,0.2,74.8,86.9,-,4.5,0.1,7.26
28,,"Dejan Lovren Liverpool, 30, D(C)",5,450,-,-,70.4,83.2,-,2.6,-,7.26
29,,"Son Heung-Min Tottenham, 27, M(CLR),FW",10(1),880,4,1.5,26.5,86.0,0.3,0.2,0.2,7.26
30,,"David Silva Manchester City, 33, M(CLR)",10(2),768,4,1.2,44.8,86.6,0.1,0.8,0.1,7.25
