first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,bonus,selected_by_percent,now_cost,id,team,web_name,form,cost,position,team_name,team_abbr
Shkodran,Mustafi,0,1,4,90,2,0,0,0,0,0.3,52,1,1,Mustafi,1.0,5.2,DEF,Arsenal,ARS
Héctor,Bellerín,0,0,1,262,6,0,0,2,0,0.3,54,2,1,Bellerín,0.2,5.4,DEF,Arsenal,ARS
Sead,Kolasinac,0,1,22,828,13,1,0,2,1,0.7,52,3,1,Kolasinac,1.0,5.2,DEF,Arsenal,ARS
Ainsley,Maitland-Niles,0,2,17,490,10,1,1,0,3,2.8,46,4,1,Maitland-Niles,0.0,4.6,DEF,Arsenal,ARS
Sokratis,Papastathopoulos,1,0,31,1170,19,2,0,4,2,1.7,49,5,1,Sokratis,0.0,4.9,DEF,Arsenal,ARS
Nacho,Monreal,0,0,10,270,4,1,0,0,1,0.3,50,6,1,Monreal,0.0,5.0,DEF,Arsenal,ARS
Laurent,Koscielny,0,0,0,0,0,0,0,0,0,0.1,50,7,1,Koscielny,0.0,5.0,DEF,Arsenal,ARS
Konstantinos,Mavropanos,0,0,0,0,0,0,0,0,0,0.0,44,8,1,Mavropanos,0.0,4.4,DEF,Arsenal,ARS
Carl,Jenkinson,0,0,0,0,0,0,0,0,0,0.0,45,9,1,Jenkinson,0.0,4.5,DEF,Arsenal,ARS
Rob,Holding,0,0,1,76,2,0,0,0,0,0.1,45,10,1,Holding,0.2,4.5,DEF,Arsenal,ARS
Pierre-Emerick,Aubameyang,10,2,89,1350,23,2,0,2,15,23.3,109,11,1,Aubameyang,5.5,10.9,FWD,Arsenal,ARS
Alexandre,Lacazette,5,2,47,661,12,0,0,2,6,2.4,93,12,1,Lacazette,5.8,9.3,FWD,Arsenal,ARS
Edward,Nketiah,0,0,0,0,0,0,0,0,0,0.7,43,13,1,Nketiah,0.0,4.3,FWD,Arsenal,ARS
Bernd,Leno,0,0,51,1350,23,2,0,2,3,5.9,50,14,1,Leno,4.2,5.0,GKP,Arsenal,ARS
Mesut,Özil,0,2,19,518,10,0,0,0,1,0.9,72,15,1,Özil,3.8,7.2,MID,Arsenal,ARS
Henrikh,Mkhitaryan,0,0,4,110,0,1,0,1,0,0.8,68,16,1,Mkhitaryan,0.0,6.8,MID,Arsenal,ARS
Granit,Xhaka,0,1,23,919,17,2,0,4,0,0.7,52,18,1,Xhaka,1.0,5.2,MID,Arsenal,ARS
Lucas,Torreira,1,0,22,543,10,1,0,1,0,1.2,47,19,1,Torreira,1.5,4.7,MID,Arsenal,ARS
Mohamed,Elneny,0,0,0,0,0,0,0,0,0,0.9,43,20,1,Elneny,0.0,4.3,MID,Arsenal,ARS
Matteo,Guendouzi,0,2,34,1218,20,2,0,4,2,8.6,46,21,1,Guendouzi,1.2,4.6,MID,Arsenal,ARS
David,Luiz Moreira Marinho,2,0,35,1260,23,1,0,3,3,5.4,58,106,1,David Luiz,0.8,5.8,DEF,Arsenal,ARS
Emiliano,Martínez,0,0,0,0,0,0,0,0,0,0.3,44,427,1,Martínez,0.0,4.4,GKP,Arsenal,ARS
Calum,Chambers,1,0,27,810,11,2,0,4,2,1.5,44,467,1,Chambers,0.5,4.4,DEF,Arsenal,ARS
Daniel,Ceballos Fernández,0,2,27,659,10,1,0,0,3,3.8,53,469,1,Ceballos,0.0,5.3,MID,Arsenal,ARS
Nicolas,Pépé,1,2,33,829,15,1,0,2,2,2.3,91,488,1,Pépé,0.5,9.1,MID,Arsenal,ARS
Reiss,Nelson,0,0,5,150,2,1,0,1,0,0.1,53,489,1,Nelson,0.0,5.3,MID,Arsenal,ARS
Joseph,Willock,0,0,17,482,9,1,0,0,0,0.2,49,490,1,Willock,1.2,4.9,MID,Arsenal,ARS
Gabriel Teodoro,Martinelli Silva,0,1,9,96,2,0,0,1,0,1.5,45,504,1,Martinelli,1.5,4.5,FWD,Arsenal,ARS
Kieran,Tierney,0,0,4,268,6,0,0,1,0,0.8,54,515,1,Tierney,0.2,5.4,DEF,Arsenal,ARS
Bukayo,Saka,0,1,13,354,4,1,0,1,0,0.7,45,541,1,Saka,0.2,4.5,MID,Arsenal,ARS
Ahmed,El Mohamady,0,1,13,341,11,0,0,0,5,0.9,42,22,2,El Mohamady,1.5,4.2,DEF,Aston Villa,AVL
James,Chester,0,0,0,0,0,0,0,0,0,0.1,43,23,2,Chester,0.0,4.3,DEF,Aston Villa,AVL
Neil,Taylor,0,0,17,613,12,2,0,1,0,0.3,44,24,2,Taylor,0.2,4.4,DEF,Aston Villa,AVL
Kortney,Hause,0,0,0,0,0,0,0,0,0,0.1,44,25,2,Hause,0.0,4.4,DEF,Aston Villa,AVL
Jonathan,Kodjia,0,0,2,20,4,0,0,0,0,0.1,54,26,2,Kodjia,0.0,5.4,FWD,Aston Villa,AVL
Ørjan,Nyland,0,0,2,82,2,0,0,0,0,0.2,43,27,2,Nyland,0.5,4.3,GKP,Aston Villa,AVL
Conor,Hourihane,2,2,36,578,11,2,0,2,4,0.2,57,28,2,Hourihane,4.2,5.7,MID,Aston Villa,AVL
Jack,Grealish,3,4,60,1163,20,3,0,3,7,5.3,60,29,2,Grealish,4.2,6.0,MID,Aston Villa,AVL
Anwar,El Ghazi,3,4,52,852,14,3,0,1,0,1.2,55,30,2,El Ghazi,3.5,5.5,MID,Aston Villa,AVL
John,McGinn,3,2,57,1350,24,3,0,1,4,10.2,58,31,2,McGinn,2.2,5.8,MID,Aston Villa,AVL
Andre,Green,0,0,0,0,0,0,0,0,0,0.0,49,32,2,Green,0.0,4.9,MID,Aston Villa,AVL
Birkir,Bjarnason,0,0,0,0,0,0,0,0,0,0.0,45,33,2,Bjarnason,0.0,4.5,MID,Aston Villa,AVL
Keinan,Davis,0,0,6,74,1,0,0,0,0,0.2,44,34,2,Davis,0.0,4.4,MID,Aston Villa,AVL
Henri,Lansbury,0,0,5,40,1,0,0,0,0,0.5,44,35,2,Lansbury,0.8,4.4,MID,Aston Villa,AVL
José Ignacio,Peleteiro Romallo,0,1,13,259,3,2,0,0,0,0.1,58,36,2,Jota,0.2,5.8,MID,Aston Villa,AVL
Tom,Heaton,0,0,41,1260,22,3,0,0,0,5.3,45,94,2,Heaton,2.5,4.5,GKP,Aston Villa,AVL
Matt,Targett,1,2,41,736,12,2,0,1,9,1.0,44,309,2,Targett,3.8,4.4,DEF,Aston Villa,AVL
Wesley,Moraes,4,1,53,1284,20,4,0,1,7,1.9,58,428,2,Wesley,1.8,5.8,FWD,Aston Villa,AVL
Jed,Steer,0,0,1,7,0,0,0,0,0,0.1,44,429,2,Steer,0.2,4.4,GKP,Aston Villa,AVL
Tyrone,Mings,1,1,43,1350,24,3,0,2,3,5.1,45,445,2,Mings,3.5,4.5,DEF,Aston Villa,AVL
Ezri,Konsa Ngoyo,0,0,10,375,7,1,0,0,0,0.1,43,452,2,Konsa,2.2,4.3,DEF,Aston Villa,AVL
Bjorn,Engels,0,0,31,974,17,3,0,1,4,0.7,45,455,2,Engels,0.0,4.5,DEF,Aston Villa,AVL
Frédéric,Guilbert,0,2,38,1052,15,4,0,5,2,0.8,44,458,2,Guilbert,2.0,4.4,DEF,Aston Villa,AVL
Mahmoud Ahmed,Ibrahim Hassan,3,1,37,839,17,1,1,2,2,1.5,52,465,2,Trézéguet,4.5,5.2,MID,Aston Villa,AVL
Douglas Luiz,Soares de Paulo,2,0,36,757,12,4,0,1,2,3.9,45,470,2,Douglas Luiz,2.0,4.5,MID,Aston Villa,AVL
Lovre,Kalinic,0,0,0,0,0,0,0,0,0,0.1,44,474,2,Kalinic,0.0,4.4,GKP,Aston Villa,AVL
Marvelous,Nakamba,0,0,18,772,15,1,0,1,0,1.1,44,491,2,Nakamba,0.8,4.4,MID,Aston Villa,AVL
Steve,Cook,1,0,43,1260,20,3,0,2,5,0.4,50,58,3,Steve Cook,2.8,5.0,DEF,Bournemouth,BOU
Nathan,Aké,1,1,49,1350,21,3,0,1,5,13.4,50,59,3,Aké,1.2,5.0,DEF,Bournemouth,BOU
Charlie,Daniels,0,0,3,126,2,0,0,0,0,0.1,43,60,3,Daniels,0.0,4.3,DEF,Bournemouth,BOU
Chris,Mepham,1,0,15,361,8,0,0,0,2,0.8,43,61,3,Mepham,0.5,4.3,DEF,Bournemouth,BOU
