R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1,Leicester,17,13.0,80,52.9,80.5,15.1,7.05
2,Manchester City,22,19.5,140,62.7,88.1,15.9,7.05
3,Chelsea,19,16.0,130,56.1,85.1,15.0,6.94
4,Liverpool,13,14.1,90,59.3,81.3,22.7,6.87
5,Wolverhampton Wanderers,9,13.0,142,44.8,78.0,20.6,6.82
6,Sheffield United,8,8.6,160,44.9,76.3,22.7,6.76
7,Aston Villa,12,11.9,141,43.3,79.2,11.6,6.72
8,West Ham,7,10.0,131,48.5,76.6,20.3,6.71
9,Bournemouth,9,11.6,180,50.3,78.8,21.1,6.7
10,Southampton,8,12.3,110,47.0,74.8,18.0,6.68
11,Crystal Palace,8,7.0,120,45.6,76.4,21.4,6.65
12,Tottenham,11,9.3,161,48.9,79.8,15.6,6.63
13,Burnley,9,11.1,170,42.1,67.4,23.7,6.63
14,Brighton,8,11.6,141,52.9,83.7,14.9,6.62
15,Newcastle United,8,8.1,91,35.7,73.3,17.1,6.61
16,Manchester United,8,14.0,160,56.9,83.0,16.3,6.59
17,Norwich,4,10.1,150,50.9,80.5,15.3,6.57
18,Arsenal,7,9.6,150,53.3,84.3,10.6,6.56
19,Everton,8,13.0,142,51.1,76.6,23.5,6.5
20,Watford,5,8.6,161,44.2,74.7,18.6,6.45
