R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1,Manchester City,21,22.6,141,59.2,88.6,12.9,7.13
2,Leicester,18,15.8,70,57.5,83.8,17.3,7.08
3,Liverpool,24,17.3,61,54.3,83.1,16.0,7.06
4,Aston Villa,10,14.1,80,49.2,79.4,17.9,6.9
5,Chelsea,11,18.4,130,57.8,85.5,19.0,6.88
6,Tottenham,14,16.1,131,59.3,86.1,18.0,6.88
7,Arsenal,14,15.4,221,55.0,82.9,13.8,6.85
8,Manchester United,15,14.4,160,49.9,79.7,13.0,6.82
9,Wolverhampton Wanderers,12,10.9,120,49.6,79.1,22.0,6.81
10,Newcastle United,7,12.1,131,39.8,73.5,21.6,6.8
11,Burnley,12,10.6,100,42.3,66.8,24.6,6.76
12,Brighton,10,13.6,71,53.7,80.4,18.0,6.75
13,Crystal Palace,6,12.3,151,44.1,76.6,18.6,6.74
14,Everton,8,14.1,120,50.9,77.6,21.6,6.73
15,Bournemouth,9,11.7,131,45.6,76.1,17.3,6.73
16,Sheffield United,9,12.1,141,46.2,75.3,23.4,6.72
17,West Ham,10,11.3,160,51.2,81.4,20.7,6.66
18,Norwich,12,13.0,110,50.3,82.6,10.0,6.66
19,Watford,4,15.3,140,47.5,79.3,16.9,6.54
20,Southampton,9,11.8,72,46.5,72.0,18.1,6.41
