R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1,Manchester City,43,20.9,281,61.1,88.4,14.5,7.09
2,Leicester,35,14.5,150,55.3,82.4,16.3,7.07
3,Liverpool,37,15.8,151,56.6,82.2,19.1,6.97
4,Chelsea,30,17.3,260,57.0,85.3,17.1,6.91
5,Wolverhampton Wanderers,21,11.9,262,47.4,78.6,21.3,6.81
6,Aston Villa,22,12.9,221,46.1,79.3,14.5,6.8
7,Tottenham,25,12.5,292,53.7,83.2,16.7,6.75
8,Sheffield United,17,10.5,301,45.6,75.8,23.1,6.74
9,Arsenal,21,12.7,371,54.2,83.6,12.3,6.72
10,Manchester United,23,14.2,320,53.2,81.5,14.5,6.71
11,Bournemouth,18,11.7,311,48.1,77.6,19.3,6.71
12,Newcastle United,15,10.0,222,37.6,73.4,19.2,6.7
13,Burnley,21,10.9,270,42.2,67.0,24.2,6.7
14,Crystal Palace,14,9.8,271,44.8,76.5,19.9,6.69
15,West Ham,17,10.6,291,49.8,79.0,20.5,6.68
16,Brighton,18,12.5,212,53.3,82.2,16.3,6.68
17,Everton,16,13.5,262,51.0,77.0,22.6,6.61
18,Norwich,16,11.5,260,50.6,81.5,12.8,6.61
19,Southampton,17,12.0,182,46.7,73.3,18.1,6.54
20,Watford,9,11.7,301,45.7,76.9,17.8,6.49
